deliverable,value,units
Slug-catcher surge volume (P90),0.39,m3
Design subcooling (P90),6.64,C
Required MEG concentration,30.5,wt%
MEG injection rate,28038.0,L/h
MEG injected at inlet,25.0,wt%
Under-inhibited length,5.49,km
Effective heat-transfer U,2.38,W/m2K
Cooldown to hydrate (no-touch time),17.30,h
Slurry relative viscosity,1.00,-
Slurry transportable?,True,-
Peak mixture velocity,5.00,m/s
Erosional velocity limit (API 14E),5.70,m/s
Total line pressure drop,120.8,bar
Probability of plugging (run),25,%
Time-to-plug (P50),3.9,h
Coupled hot-spot location,31.31,km
Max coupling number Phi_SH,3815,-
Phi_SH reported at plot cap (saturated)?,False,-
Monitor location,29.03,km
Monitor temperature,47.8,C
Bulk superficial liquid velocity,1.08,m/s
Line-median mixture velocity,4.00,m/s
Peak wall deposit,0.0,mm
Wall deposit at full bore?,False,-
Deposit (hydrate-mass equivalent),0.0,mm
No-touch time source,lumped,-
Mass-conservation error,0.00,%
Mass-balance reliability warning,False,-
