x_km,elevation_m,incl_deg,P_bar,T_C,Teq_C,subcooling_C,holdup,v_m_mps,regime,a_i_1perm,f_slug_Hz,phi_hydrate,deposit_mm,Phi_SH
0.22857,-1118.4,-1.9608,150,57.676,5.9559,-51.72,0.32676,2.9193,slug,24.203,0.15371,0,0,0.045477
0.68571,-1134.1,-1.0374,150.22,57.325,5.9674,-51.358,0.35585,2.6693,slug,25.219,0.14064,0,0,0.055225
1.1429,-1135,0.46855,149.72,56.913,5.9415,-50.971,0.41306,2.2738,slug,26.673,0.12665,0,0,0.069079
1.6,-1126.6,1.0667,148.6,56.495,5.8838,-50.611,0.40481,2.2765,slug,26.508,0.14061,0,0,0.059233
2.0571,-1118,0.75682,147.44,56.111,5.8236,-50.287,0.38089,2.4469,slug,25.944,0.13385,0,0,0.056457
2.5143,-1114.5,0.18865,146.58,55.751,5.7784,-49.973,0.35282,2.6102,slug,25.122,0.11289,0,0,0.061746
2.9714,-1115,0.038263,145.94,55.397,5.7447,-49.652,0.35578,2.6307,slug,25.217,0.096374,0,0,0.070504
3.4286,-1113.9,0.43777,145.23,55.029,5.7069,-49.322,0.37102,2.5324,slug,25.675,0.12413,0,0,0.05673
3.8857,-1108,0.92959,144.24,54.637,5.6546,-48.982,0.396,2.3802,slug,26.315,0.13645,0,0,0.053169
4.3429,-1099.1,0.95471,143.11,54.24,5.5938,-48.645,0.38947,2.3689,slug,26.161,0.13651,0,0,0.050167
4.8,-1092.7,0.42362,142.13,53.865,5.541,-48.324,0.37052,2.4997,slug,25.66,0.12259,0,0,0.051183
5.2571,-1092.3,-0.14736,141.48,53.513,5.5057,-48.007,0.34478,2.6599,slug,24.854,0.10845,0,0,0.053403
5.7143,-1095.1,-0.073229,140.99,53.169,5.4787,-47.691,0.34665,2.6991,slug,24.918,0.10094,0,0,0.055811
6.1714,-1093.5,0.85291,140.24,52.813,5.4378,-47.375,0.36666,2.5929,slug,25.549,0.13347,0,0,0.043448
6.6286,-1081.5,2.0695,138.9,52.419,5.3639,-47.055,0.41134,2.3426,slug,26.64,0.15059,0,0,0.042098
7.0857,-1060.5,2.601,137.04,51.978,5.2601,-46.718,0.44021,2.1237,slug,27.112,0.15495,0,0,0.039486
7.5429,-1039.9,1.8033,135.26,51.56,5.1594,-46.4,0.40891,2.2651,slug,26.592,0.14601,0,0,0.035743
8,-1031.7,-0.094085,134.23,51.187,5.1005,-46.087,0.36891,2.5313,slug,25.614,0.10144,0,0,0.043701
8.4571,-1041.4,-2.0839,134.18,50.842,5.098,-45.744,0.33458,2.7457,slug,24.494,0.14874,0,0,0.027363
8.9143,-1064.9,-3.0804,134.85,50.51,5.1362,-45.374,0.33148,2.821,slug,24.381,0.15816,0,0,0.027083
9.3714,-1090.6,-2.6781,135.66,50.174,5.1824,-44.992,0.34413,2.7323,slug,24.832,0.15532,0,0,0.029599
9.8286,-1107.7,-1.3732,136.06,49.816,5.205,-44.611,0.36902,2.5303,slug,25.618,0.14114,0,0,0.036275
10.286,-1112.6,-0.12479,135.81,49.432,5.191,-44.24,0.40148,2.3375,slug,26.437,0.1052,0,0,0.051051
10.743,-1109.7,0.38837,135.12,49.048,5.1515,-43.896,0.39332,2.3473,slug,26.253,0.11934,0,0,0.042679
11.2,-1106.4,0.21717,134.37,48.689,5.1087,-43.58,0.37421,2.4958,slug,25.764,0.11128,0,0,0.041776
11.657,-1106.2,-0.04272,133.77,48.347,5.0741,-43.273,0.35424,2.6228,slug,25.167,0.094429,0,0,0.04561
12.114,-1107,0.13701,133.21,48.007,5.0416,-42.966,0.36042,2.6131,slug,25.362,0.10553,0,0,0.040058
12.571,-1104,0.7243,132.45,47.652,4.9976,-42.654,0.37899,2.4935,slug,25.894,0.12821,0,0,0.034064
13.029,-1095.5,1.1768,131.4,47.275,4.9367,-42.338,0.40249,2.3416,slug,26.459,0.13648,0,0,0.03141
13.486,-1085.3,0.97946,130.29,46.9,4.8711,-42.029,0.39005,2.3788,slug,26.175,0.13265,0,0,0.029088
13.943,-1079.9,0.18387,129.44,46.55,4.8211,-41.729,0.36718,2.5463,slug,25.564,0.10777,0,0,0.03168
14.4,-1082.3,-0.54271,129,46.219,4.7944,-41.426,0.34001,2.7159,slug,24.689,0.12234,0,0,0.025112
14.857,-1088.5,-0.43884,128.72,45.897,4.7776,-41.12,0.34172,2.7491,slug,24.749,0.11908,0,0,0.025719
15.314,-1089.3,0.67817,128.16,45.565,4.7442,-40.822,0.36178,2.6338,slug,25.403,0.12565,0,0,0.02527
15.771,-1077.7,2.1596,126.96,45.201,4.6719,-40.53,0.40948,2.3707,slug,26.603,0.14708,0,0,0.023584
16.229,-1054.9,2.9423,125.13,44.787,4.56,-40.227,0.44942,2.0883,slug,27.223,0.1532,0,0,0.021008
16.686,-1030.7,2.3339,123.27,44.519,4.4445,-40.074,0.4163,2.2573,slug,26.734,0.14707,0,0,0.016906
