# Region      : all region0
# Cells       : 20000
# Volume      : 1.547202e-01
# Time        	volAverage(alpha.liquid)
0.1           	3.162987e-01
0.2           	3.160892e-01
0.3           	3.163413e-01
0.4           	3.168805e-01
0.5           	3.176740e-01
0.6           	3.187011e-01
0.7           	3.199470e-01
0.8           	3.214041e-01
0.9           	3.230606e-01
1             	3.248010e-01
1.1           	3.257056e-01
1.2           	3.230478e-01
1.3           	3.174154e-01
1.4           	3.146605e-01
1.5           	3.139597e-01
1.6           	3.133936e-01
1.7           	3.128949e-01
1.8           	3.126337e-01
1.9           	3.124654e-01
2             	3.123583e-01
