# Region      : all region0
# Cells       : 20000
# Volume      : 1.547202e-01
# Time        	volAverage(alpha.liquid)
0.1           	9.102949e-01
0.2           	9.055602e-01
0.3           	8.987632e-01
0.4           	8.905339e-01
0.5           	8.818641e-01
0.6           	8.734742e-01
0.7           	8.659788e-01
0.8           	8.639161e-01
0.9           	8.662613e-01
1             	8.714927e-01
1.1           	8.779547e-01
1.2           	8.822073e-01
1.3           	8.850074e-01
1.4           	8.875268e-01
1.5           	8.916012e-01
1.6           	8.978136e-01
1.7           	9.027313e-01
1.8           	9.060145e-01
1.9           	9.081210e-01
2             	9.093745e-01
