x_km,hydrate_forming,Phi_SH_sustained,Phi_SH_running_max,Phi_SH_final
0.2286,0,nan,0.100255,0.0930241
0.6857,0,nan,0.118097,0.10943
1.1429,0,nan,0.154309,0.138722
1.6000,0,nan,0.135158,0.120682
2.0571,0,nan,0.130577,0.117692
2.5143,0,nan,0.146088,0.128348
2.9714,0,nan,0.171474,0.149144
3.4286,0,nan,0.138706,0.118158
3.8857,0,nan,0.129235,0.112324
4.3429,0,nan,0.123238,0.108274
4.8000,0,nan,0.129046,0.113037
5.2571,0,nan,0.140236,0.118759
5.7143,0,nan,0.150273,0.125358
6.1714,0,nan,0.117906,0.0965301
6.6286,0,nan,0.112409,0.0925867
7.0857,0,nan,0.105823,0.0945255
7.5429,0,nan,0.1002,0.0884112
8.0000,0,nan,0.127907,0.112066
8.4571,0,nan,0.0812773,0.0703328
8.9143,0,nan,0.0771854,0.066093
9.3714,0,nan,0.0834295,0.0707421
9.8286,0,nan,0.10081,0.0834838
10.2857,0,nan,0.143469,0.121368
10.7429,0,nan,0.120818,0.103855
11.2000,0,nan,0.120505,0.104569
11.6571,0,nan,0.134878,0.114536
12.1143,0,nan,0.118644,0.101456
12.5714,0,nan,0.100699,0.0850792
13.0286,0,nan,0.0947019,0.0828039
13.4857,0,nan,0.0905347,0.0801414
13.9429,0,nan,0.102454,0.0910308
14.4000,0,nan,0.0856672,0.0739391
14.8571,0,nan,0.0862833,0.0743999
15.3143,0,nan,0.0839209,0.0711274
15.7714,0,nan,0.0797326,0.065567
16.2286,0,nan,0.0756703,0.0663201
16.6857,0,nan,0.0673855,0.0582508
17.1429,0,nan,0.0704554,0.0604561
17.6000,0,nan,0.0572605,0.0474749
18.0571,0,nan,0.0526344,0.0436195
18.5143,0,nan,0.0559613,0.0463918
18.9714,0,nan,0.0650035,0.0534877
19.4286,0,nan,0.0767694,0.0644596
19.8857,0,nan,0.0816179,0.0684468
20.3429,0,nan,0.0743639,0.0617901
20.8000,0,nan,0.0718411,0.0578556
21.2571,0,nan,0.0842056,0.0659567
21.7143,0,nan,0.0669982,0.0523026
22.1714,0,nan,0.0593529,0.0503496
22.6286,0,nan,0.0545235,0.0471063
23.0857,0,nan,0.0709582,0.0611558
23.5429,0,nan,0.0471534,0.038679
24.0000,0,nan,0.0490572,0.0377281
24.4571,0,nan,0.0561989,0.0408614
24.9143,0,nan,0.0516992,0.0345574
25.3714,0,nan,0.0488437,0.0323234
25.8286,0,nan,0.0397258,0.0241663
26.2857,0,nan,0.040123,0.0200315
26.7429,0,nan,0.0368532,0.0169855
27.2000,0,nan,0.0339415,0.0148031
27.6571,0,nan,0.0358408,0.0152348
28.1143,0,nan,0.0444074,0.018578
28.5714,0,nan,0.0397163,0.0169874
29.0286,0,nan,0.0517981,0.0254303
29.4857,0,nan,0.0330126,0.0105109
29.9429,0,nan,0.0387034,0.0104209
30.4000,1,0,0.0379488,0
30.8571,0,nan,0.00597841,0
31.3143,0,nan,0,0
31.7714,0,nan,0,0
