time_h,bc_rate_frac,P_bar,T_C,subcooling_C,holdup,v_m_mps,f_slug_Hz,phi_hydrate,deposit_mm,Phi_SH
0,1,123.55,14.204,-9.712,0.35097,1.5295,0.13461,0,0,0.012301
0.0047035,1,124.35,14.248,-9.6915,0.34983,1.5508,0.135,0,0,0.013553
0.011642,1,124.4,14.312,-9.7334,0.34881,1.9531,0.13501,0,0,0.01358
0.019064,1,124.64,14.363,-9.7817,0.35145,1.8745,0.13512,0,0,0.014079
0.025428,1,124.42,14.423,-9.8475,0.35478,2.1622,0.135,0,0,0.013847
0.031603,1,124.18,14.489,-9.9215,0.36024,2.2652,0.13487,0,0,0.013684
0.038054,1,124.11,14.555,-9.9919,0.3676,2.2405,0.13482,0,0,0.013846
0.044526,1,124.08,14.62,-10.06,0.37631,2.2363,0.13479,0,0,0.014109
0.050944,1,124.06,14.685,-10.126,0.38622,2.2255,0.13477,0,0,0.01446
0.057337,1,124.06,14.749,-10.191,0.39709,2.2193,0.13475,0,0,0.014855
0.06367,1,124.04,14.813,-10.256,0.40869,2.2173,0.13473,0,0,0.01527
0.06995,1,124.02,14.877,-10.322,0.42076,2.2203,0.13471,0,0,0.01568
0.076168,1,123.98,14.941,-10.388,0.43302,2.2281,0.13467,0,0,0.016063
0.082322,1,123.93,15.005,-10.456,0.44515,2.2395,0.13463,0,0,0.016401
0.088412,1,123.86,15.07,-10.524,0.45682,2.2525,0.13458,0,0,0.016685
0.094441,1,123.78,15.134,-10.594,0.46768,2.2649,0.13453,0,0,0.016909
0.10042,1,123.69,15.199,-10.663,0.47743,2.2751,0.13447,0,0,0.017077
0.10635,1,123.61,15.264,-10.733,0.48581,2.2827,0.13442,0,0,0.017189
0.11226,1,123.52,15.329,-10.803,0.49263,2.2878,0.13436,0,0,0.017247
0.11815,1,123.45,15.394,-10.873,0.49778,2.2907,0.13431,0,0,0.017254
0.12404,1,123.38,15.46,-10.943,0.50127,2.2918,0.13426,0,0,0.017216
0.12992,1,123.32,15.525,-11.012,0.50317,2.2912,0.13422,0,0,0.017137
0.13582,1,123.26,15.591,-11.081,0.50363,2.2895,0.13417,0,0,0.017025
0.14173,1,123.21,15.656,-11.15,0.50281,2.2872,0.13414,0,0,0.016882
0.14766,1,123.17,15.722,-11.218,0.50091,2.284,0.1341,0,0,0.016718
0.15361,1,123.13,15.787,-11.286,0.49815,2.2803,0.13407,0,0,0.016539
0.15959,1,123.1,15.852,-11.353,0.49478,2.2759,0.13404,0,0,0.016353
0.16559,1,123.07,15.917,-11.42,0.49104,2.2712,0.13401,0,0,0.016166
0.17162,1,123.04,15.982,-11.486,0.48711,2.2661,0.13398,0,0,0.015983
0.17767,1,123.02,16.046,-11.552,0.48316,2.2609,0.13396,0,0,0.015808
0.18375,1,123,16.11,-11.618,0.47928,2.2564,0.13394,0,0,0.015641
0.18986,1,122.99,16.173,-11.683,0.47554,2.2523,0.13391,0,0,0.015482
0.19599,1,122.97,16.236,-11.747,0.47198,2.2485,0.13389,0,0,0.015332
0.20213,1,122.95,16.299,-11.811,0.46863,2.245,0.13387,0,0,0.015192
0.20828,1,122.94,16.36,-11.874,0.4655,2.2417,0.13385,0,0,0.015062
0.21444,1,122.98,16.42,-11.934,0.46288,2.2081,0.13386,0,0,0.015071
0.2206,1,123.02,16.481,-11.991,0.46044,2.1964,0.13386,0,0,0.015068
0.22686,1,123.05,16.54,-12.05,0.45839,2.1872,0.13387,0,0,0.015071
0.23311,1,123.08,16.599,-12.107,0.45668,2.1815,0.13387,0,0,0.015075
0.23943,1,123.11,16.657,-12.164,0.45543,2.1748,0.13387,0,0,0.015096
0.24576,1,123.13,16.715,-12.221,0.45463,2.1719,0.13387,0,0,0.01512
0.25213,1,123.15,16.772,-12.278,0.4543,2.1705,0.13387,0,0,0.015151
0.25851,1,123.17,16.829,-12.334,0.45448,2.1674,0.13387,0,0,0.015201
0.26492,1,123.19,16.886,-12.39,0.45518,2.1669,0.13386,0,0,0.015259
0.27135,1,123.2,16.942,-12.446,0.45639,2.1676,0.13386,0,0,0.015325
0.27777,1,123.2,16.998,-12.502,0.45813,2.1698,0.13385,0,0,0.015397
0.28418,1,123.2,17.053,-12.558,0.4604,2.1754,0.13383,0,0,0.015466
0.29058,1,123.19,17.108,-12.614,0.46328,2.1807,0.13382,0,0,0.015543
0.29696,1,123.17,17.163,-12.67,0.46677,2.1881,0.1338,0,0,0.015621
0.30332,1,123.14,17.217,-12.726,0.47087,2.1954,0.13377,0,0,0.015705
0.30966,1,123.11,17.272,-12.783,0.47551,2.2071,0.13374,0,0,0.015774
0.31599,1,123.05,17.326,-12.841,0.4806,2.2244,0.1337,0,0,0.015809
0.3223,1,122.98,17.381,-12.9,0.48613,2.2382,0.13365,0,0,0.015837
0.3286,1,122.92,17.436,-12.958,0.49159,2.2401,0.13362,0,0,0.015896
0.33489,1,122.87,17.491,-13.016,0.4967,2.2454,0.13358,0,0,0.015938
0.34117,1,122.82,17.545,-13.074,0.50144,2.248,0.13354,0,0,0.015979
0.34741,1,122.78,17.599,-13.131,0.50587,2.251,0.13351,0,0,0.016011
0.35362,1,122.73,17.653,-13.188,0.51,2.2543,0.13348,0,0,0.016035
0.35977,1,122.69,17.706,-13.245,0.51388,2.2581,0.13344,0,0,0.016049
0.36586,1,122.66,17.759,-13.3,0.51749,2.2542,0.13342,0,0,0.016093
0.37189,1,122.66,17.811,-13.352,0.52085,2.2385,0.13341,0,0,0.016212
0.37789,1,122.68,17.862,-13.403,0.52353,2.2268,0.13341,0,0,0.01634
0.38387,1,122.7,17.913,-13.453,0.52497,2.218,0.13341,0,0,0.016443
0.38983,1,122.72,17.964,-13.503,0.5249,2.2144,0.13341,0,0,0.016489
0.39577,1,122.74,18.014,-13.553,0.52324,2.2136,0.1334,0,0,0.016475
0.40168,1,122.75,18.064,-13.602,0.52,2.2152,0.1334,0,0,0.016397
0.40757,1,122.75,18.114,-13.652,0.51535,2.2169,0.13339,0,0,0.01627
0.41343,1,122.76,18.164,-13.701,0.50956,2.2176,0.13339,0,0,0.01611
0.41928,1,122.78,18.214,-13.75,0.50297,2.2147,0.13338,0,0,0.015943
0.42512,1,122.81,18.263,-13.797,0.49597,2.205,0.13339,0,0,0.015803
0.43096,1,122.9,18.311,-13.841,0.48911,2.1754,0.13342,0,0,0.015776
0.43679,1,122.82,18.361,-13.894,0.48118,2.2402,0.13338,0,0,0.015358
0.44264,1,122.66,18.413,-13.955,0.47283,2.3151,0.13329,0,0,0.014729
0.44838,1,122.51,18.464,-14.016,0.465,2.3525,0.1332,0,0,0.014154
0.45394,1,122.35,18.515,-14.077,0.45763,2.3883,0.13311,0,0,0.013588
0.45943,1,122.23,18.566,-14.136,0.45119,2.3992,0.13304,0,0,0.013135
0.46481,1,122.14,18.616,-14.192,0.44578,2.398,0.13299,0,0,0.012788
0.47013,1,122.07,18.666,-14.247,0.44145,2.3927,0.13294,0,0,0.012525
0.47537,1,121.95,18.717,-14.304,0.43771,2.4237,0.13288,0,0,0.012174
0.48059,1,121.77,18.769,-14.367,0.43441,2.4781,0.13278,0,0,0.011703
0.48582,1,121.5,18.826,-14.436,0.43102,2.5561,0.13263,0,0,0.011056
0.49128,1,121.38,18.883,-14.501,0.4287,2.5194,0.13256,0,0,0.010755
0.4968,1,121.33,18.942,-14.561,0.42697,2.4814,0.13253,0,0,0.010608
0.50255,1,121.32,18.999,-14.62,0.42595,2.4463,0.13251,0,0,0.010567
0.50828,1,121.33,19.057,-14.677,0.42547,2.4192,0.1325,0,0,0.010574
0.51414,1,121.35,19.115,-14.734,0.42554,2.3958,0.1325,0,0,0.010619
0.51999,1,121.37,19.173,-14.79,0.42607,2.3796,0.1325,0,0,0.010676
0.5259,1,121.39,19.23,-14.847,0.42701,2.3673,0.1325,0,0,0.010741
0.53181,1,121.4,19.288,-14.903,0.42829,2.3593,0.13249,0,0,0.010803
0.53774,1,121.41,19.345,-14.96,0.42985,2.3539,0.13249,0,0,0.010862
0.54367,1,121.42,19.403,-15.017,0.43162,2.3507,0.13248,0,0,0.010915
0.5496,1,121.42,19.461,-15.075,0.43354,2.3487,0.13246,0,0,0.010963
0.55552,1,121.41,19.519,-15.133,0.43554,2.3473,0.13245,0,0,0.011006
0.56145,1,121.41,19.578,-15.192,0.43757,2.3461,0.13244,0,0,0.011045
0.56737,1,121.4,19.636,-15.251,0.43959,2.3448,0.13242,0,0,0.011081
0.5733,1,121.39,19.695,-15.31,0.44154,2.3432,0.13241,0,0,0.011115
0.57922,1,121.38,19.754,-15.369,0.44338,2.3413,0.13239,0,0,0.011148
0.58515,1,121.38,19.812,-15.428,0.44509,2.3391,0.13238,0,0,0.011179
0.59108,1,121.37,19.87,-15.487,0.44665,2.3365,0.13236,0,0,0.011209
0.59702,1,121.37,19.928,-15.545,0.44803,2.3336,0.13235,0,0,0.011238
0.60296,1,121.37,19.985,-15.603,0.44922,2.3305,0.13234,0,0,0.011267
0.6089,1,121.37,20.045,-15.66,0.45024,2.3272,0.13233,0,0,0.011294
0.61485,1,121.37,20.104,-15.72,0.45108,2.3238,0.13231,0,0,0.011321
0.62081,1,121.37,20.166,-15.779,0.45174,2.3202,0.1323,0,0,0.011347
0.62677,1,121.38,20.226,-15.84,0.45225,2.3166,0.13229,0,0,0.011373
0.63274,1,121.39,20.285,-15.9,0.45262,2.313,0.13229,0,0,0.011398
0.63872,1,121.39,20.344,-15.959,0.45287,2.3093,0.13228,0,0,0.011422
0.6447,1,121.4,20.402,-16.017,0.45301,2.3057,0.13227,0,0,0.011446
0.65069,1,121.43,20.459,-16.073,0.45312,2.2952,0.13227,0,0,0.0115
0.65669,1,121.47,20.515,-16.127,0.45328,2.2776,0.13228,0,0,0.0116
0.66272,1,121.51,20.57,-16.181,0.45346,2.2689,0.13229,0,0,0.011694
