x_km,diameter_mm,holdup_alpha_l,liquid_level_h_over_D,liquid_level_mm,wetted_perim_frac,interface_width_mm,deposit_mean_mm,deposit_bottom_mm,deposit_top_mm,u_mix_mps
0.018333,254,0.23213,0.28255,71.767,0.35678,228.72,0,0,0,4.1799
0.055,232.13,0.999,0.99296,230.5,0.94653,38.808,10.934,24.943,0.4348,-3.9629
0.091667,249.3,0.086239,0.14129,35.224,0.24533,173.67,2.3512,8.6198,0.084798,1.6587
0.12833,152.4,0.88757,0.83032,126.54,0.72971,114.41,70.99,76.2,1.5779,0.53992
0.165,254,0.999,0.99296,252.21,0.94653,42.464,0,0,0,-0.31684
0.20167,254,0.92253,0.86875,220.66,0.76399,171.54,0,0,0,0.26673
0.23833,254,0.999,0.99296,252.21,0.94653,42.464,0,0,0,-0.13019
0.275,254,0.92934,0.87678,222.7,0.77166,166.98,0,0,0,0.1541
0.31167,254,0.999,0.99296,252.21,0.94653,42.464,0,0,0,-0.058349
0.34833,254,0.93584,0.88465,224.7,0.77939,162.28,0,0,0,0.10459
0.385,254,0.999,0.99296,252.21,0.94653,42.464,0,0,0,-0.022992
0.42167,254,0.93003,0.8776,222.91,0.77246,166.5,0,0,0,0.078
0.45833,254,0.999,0.99296,252.21,0.94653,42.464,0,0,0,-0.0025745
0.495,254,0.93977,0.88952,225.94,0.7843,159.25,0,0,0,0.061817
0.53167,254,0.99095,0.96929,246.2,0.88787,87.639,0,0,0,0.010288
0.56833,254,0.95152,0.90471,229.8,0.80022,149.16,0,0,0,0.05142
0.605,254,0.98142,0.9502,241.35,0.85672,110.51,0,0,0,0.01852
0.64167,254,0.95305,0.90677,230.32,0.80246,147.71,0,0,0,0.044723
0.67833,254,0.97307,0.93604,237.75,0.83723,124.3,0,0,0,0.023786
0.715,254,0.9703,0.93166,236.64,0.83162,128.18,0,0,0,0.040484
0.75167,254,0.97405,0.93761,238.15,0.83928,122.87,0,0,0,0.02713
0.78833,254,0.95561,0.91025,231.2,0.80631,145.2,0,0,0,0.037817
0.825,254,0.96188,0.91907,233.44,0.81636,138.55,0,0,0,0.029186
0.86167,254,0.97424,0.93792,238.23,0.8397,122.58,0,0,0,0.036129
0.89833,254,0.96823,0.92847,235.83,0.82764,130.92,0,0,0,0.030509
0.935,254,0.95926,0.91534,232.5,0.81205,141.41,0,0,0,0.035087
0.97167,254,0.96209,0.91937,233.52,0.81671,138.31,0,0,0,0.031333
1.0083,254,0.96388,0.92197,234.18,0.81978,136.25,0,0,0,0.03442
1.045,254,0.9726,0.93528,237.56,0.83624,124.98,0,0,0,0.031807
1.0817,254,0.95918,0.91522,232.47,0.81191,141.5,0,0,0,0.034071
1.1183,254,0.96087,0.91762,233.08,0.81467,139.67,0,0,0,0.032038
1.155,254,0.96868,0.92916,236.01,0.82849,130.33,0,0,0,0.033941
1.1917,254,0.97162,0.93372,237.17,0.83424,126.37,0,0,0,0.032176
1.2283,244.52,0.96928,0.93008,227.42,0.82964,124.71,4.7419,10.888,0.10469,0.033711
1.265,252.91,0.32823,0.36338,91.901,0.4119,243.28,0.54555,1.4959,0.014384,0.031947
1.3017,253.55,0.001,0.0070369,1.7842,0.053466,42.388,0.22632,0.88202,0.015511,0.035798
1.3383,253.5,0.001,0.0070369,1.7839,0.053466,42.381,0.24859,0.96881,0.017037,0.02766
1.375,253.45,0.001,0.0070369,1.7835,0.053466,42.372,0.27559,1.074,0.018888,0.041693
1.4117,253.36,0.001,0.0070369,1.7829,0.053466,42.357,0.3187,1.242,0.021842,0.021401
1.4483,253.19,0.001,0.0070369,1.7817,0.053466,42.329,0.4026,1.569,0.027592,0.048886
1.485,253.3,0.001,0.0070369,1.7825,0.053466,42.347,0.34854,1.3583,0.023887,0.013492
1.5217,253.38,0.001,0.0070369,1.783,0.053466,42.36,0.30972,1.207,0.021227,0.058301
1.5583,253.4,0.001,0.0070369,1.7832,0.053466,42.364,0.29801,1.1614,0.020424,0.0027345
1.595,253.29,0.001,0.0070369,1.7824,0.053466,42.346,0.35304,1.3759,0.024195,0.07129
1.6317,253.09,0.001,0.0070369,1.781,0.053466,42.312,0.45435,1.7707,0.031139,-0.012539
1.6683,253.12,0.001,0.0070369,1.7812,0.053466,42.317,0.44087,1.7182,0.030215,0.090286
1.705,253.28,0.001,0.0070369,1.7823,0.053466,42.343,0.36057,1.4052,0.024712,-0.036002
1.7417,253.26,0.001,0.0070369,1.7822,0.053466,42.341,0.36756,1.4325,0.025191,0.12094
1.7783,253.22,0.001,0.0070369,1.7819,0.053466,42.334,0.38776,1.5112,0.026575,-0.076533
1.815,253.09,0.001,0.0070369,1.7809,0.053466,42.311,0.45676,1.7801,0.031304,0.17764
1.8517,253.49,0.001,0.0070369,1.7838,0.053466,42.378,0.25682,1.0009,0.017601,-0.15893
1.8883,253.21,0.001,0.0070369,1.7818,0.053466,42.333,0.3929,1.5312,0.026928,0.30638
1.925,253.48,0.001,0.0070369,1.7837,0.053466,42.377,0.25995,1.0131,0.017815,-0.3804
1.9617,253.48,0.001,0.0070369,1.7837,0.053466,42.378,0.25792,1.0052,0.017677,0.61636
1.9983,253.92,0.001,0.0070369,1.7868,0.053466,42.451,0.039851,0.15531,0.0027312,1.8698
2.035,253.95,0.001,0.0070369,1.787,0.053466,42.455,0.026279,0.10242,0.0018011,-2.4677
2.0717,253.94,0.001,0.0070369,1.787,0.053466,42.454,0.029573,0.11525,0.0020268,-1.5654
2.1083,253.93,0.001,0.0070369,1.7869,0.053466,42.452,0.034904,0.13603,0.0023921,5.0926
2.145,253.95,0.001,0.0070369,1.787,0.053466,42.455,0.026233,0.10224,0.0017979,-3.0772
2.1817,253.95,0.001,0.0070369,1.787,0.053466,42.456,0.022835,0.088994,0.001565,0.010231
