deliverable,value,units
"Slug-catcher surge volume (design, x surge_factor; governed by hydrodynamic slug period)",0.16,m3
"  ...riser liquid inventory (P90, before surge_factor; ascent 28.6 deg — governs above 10 deg)",0.01,m3
  ...hydrodynamic-period basis (one slug period x surge_factor),0.16,m3
Design subcooling (P90),7.49,C
Required MEG concentration,32.7,wt%
MEG injection rate,3926.5,L/h
MEG injected at inlet,0.0,wt%
Under-inhibited length,2.16,km
Effective heat-transfer U,3.99,W/m2K
Cooldown to hydrate (no-touch time),0.72,h
Slurry relative viscosity,31622776.60,-
Slurry transportable?,False,-
"Peak mixture velocity (point max — NOT grid-converged, read as a flag)",5.09,m/s
"Mixture velocity, 95th percentile of route (converged — design basis)",3.12,m/s
Slug-unit length (over the slugging reach),31.0 mean / 111.3 max,m — over 13 % of the route
Erosional velocity limit (API 14E),5.38,m/s
Total line pressure drop,0.6,bar
Probability of plugging (run),20,%
Time-to-plug (P50),16.4,h
Coupled hot-spot location,1.19,km
Max coupling number Phi_SH,1060,-
Phi_SH reported at plot cap (saturated)?,False,-
"Phi_SH shear-limited (near-zero velocity, magnitude not resolved)?",True,-
Monitor location,2.00,km
Monitor temperature,0.2,C
Bulk superficial liquid velocity,0.11,m/s
Line-median mixture velocity,0.03,m/s
Peak wall deposit,71.0,mm
Wall deposit at full bore?,False,-
Deposit (hydrate-mass equivalent),34.9,mm
No-touch time source,transient,-
Mass-conservation error,0.00,%
Liquid discarded at the bore-closure bound,0.00,% of liquid in — a 1-D model limit once the bore shuts; not a solver error
Mass-balance reliability warning,False,-
