x_km,elevation_m,incl_deg,P_bar,T_C,Teq_C,subcooling_C,holdup,v_m_mps,regime,a_i_1perm,f_slug_Hz,phi_hydrate,deposit_mm,Phi_SH
0.018333,-2.4444,0.17362,46,61.935,5.7177,-56.218,0.23213,4.1799,stratified-smooth,8.4209,0.0001,0.00029832,0,330.81
0.055,-2.3333,8.1058,45.952,5.2519,5.7081,0.45578,0.999,-3.9629,slug,0.11013,0.054951,0.27454,10.934,2.0917
0.091667,8,8.0207,45.831,5.2539,5.6837,0.42447,0.086239,1.6587,slug,8.6876,0.0547,0.00046014,2.3512,1.059
0.12833,8,-7.9514e-16,45.817,5.2368,5.6808,0.43908,0.88757,0.53992,stratified-smooth,4.7126,0.0001,0.00066329,70.99,987.21
0.165,8,0,45.836,4.5395,5.6846,1.141,0.999,-0.31684,stratified-smooth,0.047197,0.0001,0.11341,0,916.21
0.20167,8,7.9514e-16,45.824,4.5386,5.6823,1.1395,0.92253,0.26673,stratified-smooth,3.3763,0.0001,0.00017228,0,857.19
0.23833,8,-7.9514e-16,45.83,4.6508,5.6835,1.0286,0.999,-0.13019,stratified-smooth,0.047197,0.0001,0.003544,0,916.03
0.275,8,7.9514e-16,45.826,4.649,5.6826,1.0295,0.92934,0.1541,stratified-smooth,3.1022,0.0001,1.3111e-05,0,908.86
0.31167,8,0,45.828,4.7325,5.6831,0.94647,0.999,-0.058349,stratified-smooth,0.047197,0.0001,4.9456e-05,0,915.97
0.34833,8,0,45.826,4.7297,5.6826,0.94878,0.93584,0.10459,stratified-smooth,2.8367,0.0001,1.3768e-09,0,910.85
0.385,8,0,45.827,4.8094,5.6829,0.86936,0.999,-0.022992,stratified-smooth,0.047197,0.0001,1.157e-09,0,915.94
0.42167,8,0,45.826,4.8043,5.6826,0.87423,0.93003,0.078,stratified-smooth,3.0744,0.0001,1.4263e-09,0,911.83
0.45833,8,0,45.827,4.9152,5.6828,0.76347,0.999,-0.0025745,stratified-smooth,0.047197,0.0001,1.5416e-09,0,915.93
0.495,8,0,45.826,4.9086,5.6826,0.76986,0.93977,0.061817,stratified-smooth,2.6741,0.0001,1.5417e-09,0,912.38
0.53167,8,0,45.826,4.9028,5.6827,0.77571,0.99095,0.010288,stratified-smooth,0.42366,0.0001,1.5767e-09,0,915.91
0.56833,8,0,45.826,4.8968,5.6826,0.78159,0.95152,0.05142,stratified-smooth,2.1795,0.0001,2.2487e-09,0,912.71
0.605,8,0,45.826,4.8905,5.6826,0.78797,0.98142,0.01852,stratified-smooth,0.86161,0.0001,2.2489e-09,0,915.9
0.64167,8,0,45.826,4.8849,5.6825,0.79347,0.95305,0.044723,stratified-smooth,2.1136,0.0001,3.3312e-09,0,915.38
0.67833,8,0,45.826,4.8784,5.6826,0.80001,0.97307,0.023786,stratified-smooth,1.2368,0.0001,8.232e-07,0,915.91
0.715,8,0,45.825,4.8729,5.6825,0.80551,0.9703,0.040484,stratified-smooth,1.361,0.0001,2.1082e-06,0,915.82
0.75167,8,0,45.825,4.866,5.6825,0.81237,0.97405,0.02713,stratified-smooth,1.1943,0.0001,2.1923e-06,0,915.9
0.78833,8,0,45.825,4.8604,5.6825,0.8179,0.95561,0.037817,stratified-smooth,2.0043,0.0001,3.2029e-06,0,915.9
0.825,8,0,45.825,4.8537,5.6825,0.82464,0.96188,0.029186,stratified-smooth,1.7321,0.0001,6.8309e-06,0,915.9
0.86167,8,0,45.825,4.848,5.6824,0.83036,0.97424,0.036129,stratified-smooth,1.1854,0.0001,1.6003e-05,0,915.9
0.89833,8,0,45.825,4.8408,5.6824,0.83749,0.96823,0.030509,stratified-smooth,1.4531,0.0001,4.8007e-05,0,915.89
0.935,8,0,45.825,4.8354,5.6824,0.84286,0.95926,0.035087,stratified-smooth,1.8462,0.0001,0.0001371,0,915.9
0.97167,8,0,45.825,4.8283,5.6824,0.85001,0.96209,0.031333,stratified-smooth,1.7232,0.0001,0.00040999,0,915.87
1.0083,8,0,45.825,4.8232,5.6824,0.85509,0.96388,0.03442,stratified-smooth,1.6449,0.0001,0.001183,0,915.9
1.045,8,0,45.825,4.8154,5.6824,0.86281,0.9726,0.031807,stratified-smooth,1.2591,0.0001,0.0030328,0,915.78
1.0817,8,7.9514e-16,45.825,4.8109,5.6824,0.86729,0.95918,0.034071,stratified-smooth,1.8499,0.0001,0.0078053,0,915.75
1.1183,8,-7.9514e-16,45.825,4.8036,5.6823,0.87466,0.96087,0.032038,stratified-smooth,1.7756,0.0001,0.014815,0,915.87
1.155,8,0,45.825,4.773,5.6823,0.9052,0.96868,0.033941,stratified-smooth,1.4322,0.0001,0.025106,0,915.89
1.1917,8,7.9514e-16,45.824,4.7637,5.6823,0.91451,0.97162,0.032176,stratified-smooth,1.2995,0.0001,0.12453,0,1059.5
1.2283,8,-7.9514e-16,45.824,4.6676,5.6823,1.0143,0.96928,0.033711,stratified-smooth,0.047197,0.0001,0.55,4.7419,864.84
1.265,8,0,45.824,3.2008,5.6823,2.4852,0.32823,0.031947,stratified-smooth,0.77497,0.0001,0.55,0.54555,728.26
1.3017,8,7.9514e-16,45.824,1.478,5.6823,4.2071,0.001,0.035798,stratified-smooth,0.047197,0.0001,0.09716,0.22632,613.73
1.3383,8,-7.9514e-16,45.824,0.60671,5.6823,5.0796,0.001,0.02766,stratified-smooth,0.047197,0.0001,0.00081472,0.24859,633.98
1.375,8,0,45.824,0.46181,5.6823,5.2181,0.001,0.041693,stratified-smooth,0.047197,0.0001,0.00079071,0.27559,675.89
1.4117,8,7.9514e-16,45.824,0.3159,5.6823,5.367,0.001,0.021401,stratified-smooth,0.047197,0.0001,0.00076891,0.3187,667.19
1.4483,8,-7.9514e-16,45.824,0.15409,5.6823,5.5293,0.001,0.048886,stratified-smooth,0.047197,0.0001,0.00074926,0.4026,725.6
1.485,8,0,45.824,0.15854,5.6823,5.5244,0.001,0.013492,stratified-smooth,0.047197,0.0001,0.00073759,0.34854,701.61
1.5217,8,7.9514e-16,45.824,0.16758,5.6823,5.5159,0.001,0.058301,stratified-smooth,0.047197,0.0001,0.00070642,0.30972,705.02
1.5583,8,-7.9514e-16,45.824,0.17057,5.6823,5.5091,0.001,0.0027345,stratified-smooth,0.047197,0.0001,0.00068194,0.29801,688.8
1.595,8,0,45.824,0.17126,5.6823,5.5085,0.001,0.07129,stratified-smooth,0.047197,0.0001,0.00065759,0.35304,686.81
1.6317,8,7.9514e-16,45.824,0.15977,5.6823,5.5231,0.001,-0.012539,stratified-smooth,0.047197,0.0001,0.00063328,0.45435,702.1
1.6683,8,-7.9514e-16,45.824,0.13625,5.6823,5.5481,0.001,0.090286,stratified-smooth,0.047197,0.0001,0.00060777,0.44087,705.11
1.705,8,0,45.824,0.17295,5.6823,5.5068,0.001,-0.036002,stratified-smooth,0.047197,0.0001,0.00058121,0.36057,686.43
1.7417,8,7.9514e-16,45.824,0.17294,5.6823,5.5068,0.001,0.12094,stratified-smooth,0.047197,0.0001,0.00055465,0.36756,316.39
1.7783,8,-7.9514e-16,45.824,0.173,5.6823,5.5067,0.001,-0.076533,stratified-smooth,0.047197,0.0001,0.00052815,0.38776,316.35
1.815,8,0,45.824,0.17305,5.6823,5.5067,0.001,0.17764,stratified-smooth,0.047197,0.0001,0.00050155,0.45676,316.38
1.8517,8,7.9514e-16,45.824,0.17741,5.6822,5.5024,0.001,-0.15893,stratified-smooth,0.047197,0.0001,0.00047515,0.25682,316.41
