x_km,hydrate_forming,Phi_SH_sustained,Phi_SH_running_max,Phi_SH_final
0.0183,0,nan,330.814,219.178
0.0550,1,1.73108,2.09173,1.82801
0.0917,1,0.200568,1.05902,0.127811
0.1283,1,869.957,987.215,937.048
0.1650,1,914.162,916.208,915.71
0.2017,1,845.518,857.19,845.107
0.2383,1,913.976,916.026,915.528
0.2750,1,852.074,908.862,851.952
0.3117,1,913.911,915.967,915.469
0.3483,1,856.274,910.848,856.78
0.3850,1,913.881,915.941,915.442
0.4217,1,854.856,911.83,854.406
0.4583,1,913.278,915.927,915.428
0.4950,1,861.512,912.384,859.449
0.5317,1,907.59,915.909,909.076
0.5683,1,870.984,912.714,869.302
0.6050,1,901.438,915.904,914.317
0.6417,1,877.002,915.385,870.175
0.6783,1,897.673,915.906,898.808
0.7150,1,880.844,915.821,882.998
0.7517,1,894.992,915.904,912.15
0.7883,1,883.895,915.9,884.671
0.8250,1,891.459,915.9,886.78
0.8617,1,885.804,915.899,883.113
0.8983,1,889.883,915.89,914.053
0.9350,1,885.841,915.897,888.926
0.9717,1,889.896,915.872,884.393
1.0083,1,888.969,915.895,881.423
1.0450,1,884.191,915.778,910.691
1.0817,1,864.366,915.754,888.441
1.1183,1,763.434,915.867,885.941
1.1550,1,457.771,915.892,881.622
1.1917,1,1.19282,1059.54,1031.93
1.2283,1,0.996789,864.839,851.906
1.2650,1,0.975074,728.255,228.772
1.3017,1,0.97468,613.73,1.02021
1.3383,1,0.950312,633.981,0.917497
1.3750,1,0.951516,675.891,0.919158
1.4117,1,0.932426,667.189,0.91906
1.4483,1,0.940424,725.599,0.91941
1.4850,1,0.941855,701.607,0.91919
1.5217,1,0.935396,705.016,0.917811
1.5583,1,0.94009,688.8,0.919094
1.5950,1,0.944449,686.811,0.919263
1.6317,1,0.95142,702.095,0.919362
1.6683,1,0.950184,705.105,0.919427
1.7050,1,0.944295,686.431,0.91938
1.7417,1,0.937196,316.392,0.919241
1.7783,1,0.919503,316.348,0.919486
1.8150,1,0.919253,316.381,0.919123
1.8517,1,0.91864,316.409,0.91863
1.8883,1,0.917777,316.421,0.917585
1.9250,1,0.917858,316.269,0.91783
1.9617,1,0.919572,316.508,0.919549
1.9983,1,0.00204062,0.584632,0.0016127
2.0350,1,0.00167833,1.06452,0.00132396
2.0717,1,0.00135496,0.450148,0.00132288
2.1083,1,0.00158157,0.499045,0.00152027
2.1450,1,0.0012753,1.04886,0.00121584
2.1817,1,0.00116422,0.363781,0.00116925
