time_h,bc_rate_frac,P_bar,T_C,subcooling_C,holdup,v_m_mps,f_slug_Hz,phi_hydrate,deposit_mm,Phi_SH
0,1,45.419,9.1296,-3.4982,0.35,1.1314,0.057437,0,0,0.54935
0.00029626,1,45.43,9.1829,-3.5273,0.35019,1.5955,0.057444,0,0,0.54983
0.0006522,1,45.383,9.2743,-3.5901,0.35215,2.1316,0.057377,0,0,0.55248
0.0011159,1,45.331,9.4534,-3.6922,0.35882,2.7525,0.057295,0,0,0.56252
0.00185,1,45.334,9.6062,-3.8705,0.36206,2.9846,0.057264,0,0,0.56801
0.0024686,1,45.31,9.758,-4.0282,0.36336,3.1495,0.057205,0,0,0.57005
0.0030973,1,45.299,9.9002,-4.1824,0.36229,3.2473,0.057162,0,0,0.56854
0.0037176,1,45.289,10.033,-4.3266,0.35984,3.3149,0.057122,0,0,0.56486
0.0043326,1,45.278,10.156,-4.4613,0.3568,3.3727,0.057083,0,0,0.56022
0.0049414,1,45.266,10.27,-4.5868,0.35321,3.4268,0.057044,0,0,0.55467
0.0055447,1,45.253,10.376,-4.7036,0.34911,3.4808,0.057007,0,0,0.5483
0.0061431,1,45.242,10.476,-4.8123,0.34453,3.5366,0.056973,0,0,0.54119
0.006737,1,45.234,10.57,-4.9136,0.33966,3.5946,0.056943,0,0,0.53363
0.0073272,1,45.229,10.658,-5.0081,0.33456,3.6532,0.05692,0,0,0.52574
0.0079141,1,45.228,10.742,-5.0967,0.32929,3.7114,0.056901,0,0,0.5176
0.0084983,1,45.23,10.822,-5.1802,0.32391,3.7682,0.056888,0,0,0.50931
0.0090804,1,45.235,10.898,-5.259,0.31848,3.8224,0.056878,0,0,0.50095
0.0096607,1,45.242,10.971,-5.334,0.31306,3.8731,0.056872,0,0,0.49262
0.01024,1,45.251,11.042,-5.4056,0.3077,3.9207,0.056868,0,0,0.48439
0.010818,1,45.26,11.111,-5.4745,0.30245,3.9654,0.056866,0,0,0.47634
0.011396,1,45.269,11.177,-5.5411,0.29736,4.0074,0.056864,0,0,0.46852
0.011974,1,45.278,11.242,-5.6057,0.29246,4.0466,0.056862,0,0,0.46098
0.012551,1,45.287,11.305,-5.6687,0.28777,4.086,0.05686,0,0,0.45378
0.013125,1,45.297,11.366,-5.7298,0.28334,4.1294,0.05686,0,0,0.44696
