x_km,elevation_m,incl_deg,P_bar,T_C,Teq_C,subcooling_C,holdup,v_m_mps,regime,a_i_1perm,f_slug_Hz,phi_hydrate,deposit_mm,Phi_SH
0.22857,-1118.4,-1.9608,150,9.9762,12.605,2.6283,0.04947,-0.77562,stratified-smooth,2.2218,0.0001,0.0027352,3.8756,267.59
0.68571,-1134.1,-1.0374,150.34,10.457,12.622,2.1655,0.56202,1.1165,stratified-smooth,11.116,0.0001,0.015967,69.142,846.06
1.1429,-1135,0.46855,150.49,4.0188,12.63,8.6085,0.99862,-0.68205,stratified-smooth,0.047104,0.0001,0.55,117.07,1467.4
1.6,-1126.6,1.0667,150.05,4.0162,12.607,8.575,0.40443,-0.56208,stratified-smooth,3.6253,0.0001,0.55,88.293,1002.2
2.0571,-1118,0.75682,149.81,4.0746,12.595,8.5087,0.0039741,0.2909,stratified-smooth,0.18698,0.0001,0.53528,0.76576,341.92
2.5143,-1114.5,0.18865,149.76,4.5906,12.593,8.0101,0.002272,0.32131,stratified-smooth,0.10711,0.0001,0.092496,0.47106,313.61
2.9714,-1115,0.038263,149.76,5.3352,12.593,7.2635,0.37262,0.43445,stratified-smooth,7.209,0.0001,0.39367,63.641,909.11
3.4286,-1113.9,0.43777,149.67,4.6611,12.588,7.9341,0.3532,-0.26287,stratified-smooth,1.2141,0.0001,0.19807,33.565,970.89
3.8857,-1108,0.92959,149.55,4.8848,12.582,7.7052,0.0013574,0.25429,stratified-smooth,0.064069,0.0001,0.053882,8.2468,520.14
4.3429,-1099.1,0.95471,149.4,4.3286,12.574,8.2693,0.001,-0.60553,stratified-smooth,0.047104,0.0001,0.04235,0.70509,355.45
4.8,-1092.7,0.42362,149.28,4.3313,12.568,8.2614,0.001,0.050822,stratified-smooth,0.047104,0.0001,0.031231,1.0033,324.3
5.2571,-1092.3,-0.14736,149.27,4.3322,12.567,8.2599,0.001,0.556,stratified-smooth,0.047104,0.0001,0.029329,1.067,299.62
5.7143,-1095.1,-0.073229,149.32,5.8847,12.57,6.6667,0.036112,0.56142,stratified-smooth,1.6339,0.0001,0.039463,62.293,706.73
6.1714,-1093.5,0.85291,149.28,4.6915,12.568,7.8885,0.0071933,0.29127,stratified-smooth,0.24973,0.0001,0.068975,91.588,1322.5
6.6286,-1081.5,2.0695,148.87,4.4773,12.547,8.0763,0.0036769,-0.44789,stratified-smooth,0.17329,0.0001,0.072167,28.724,878.36
7.0857,-1060.5,2.601,148.52,4.4929,12.529,8.0616,0.0020694,-0.64046,stratified-smooth,0.097561,0.0001,0.042983,0.68255,421.2
7.5429,-1039.9,1.8033,148.18,4.4749,12.511,8.0629,0.0025485,-0.89542,stratified-smooth,0.12001,0.0001,0.011908,0.67714,348.12
8,-1031.7,-0.094085,148.06,4.6036,12.505,7.9289,0.0038042,-0.0040199,stratified-smooth,0.17939,0.0001,0.011981,0.8514,308.23
8.4571,-1041.4,-2.0839,148.2,4.8521,12.512,7.652,0.0037378,0.90729,stratified-smooth,0.17626,0.0001,0.012605,0.76505,279.57
8.9143,-1064.9,-3.0804,148.61,4.8915,12.533,7.6319,0.0027968,1.0749,stratified-smooth,0.13193,0.0001,0.0089262,0.59589,280.54
9.3714,-1090.6,-2.6781,149.02,7.4431,12.554,5.1315,0.0023185,-0.7807,stratified-smooth,0.10923,0.0001,0.010616,0.3771,302.34
9.8286,-1107.7,-1.3732,149.34,8.1253,12.571,4.4591,0.3096,0.87699,stratified-smooth,9.5869,0.0001,0.1357,53.043,705.91
10.286,-1112.6,-0.12479,149.63,4.6752,12.586,7.8895,0.58202,-0.4144,stratified-smooth,0.11409,0.0001,0.52453,103.66,1358.7
10.743,-1109.7,0.38837,149.48,4.808,12.578,7.7534,0.046164,-0.37729,stratified-smooth,2.0623,0.0001,0.2393,48.744,892.14
11.2,-1106.4,0.21717,149.42,4.692,12.575,7.8996,0.0025807,0.00065628,stratified-smooth,0.12179,0.0001,0.163,1.505,315.3
11.657,-1106.2,-0.04272,149.42,4.5446,12.575,8.0529,0.0022882,0.39697,stratified-smooth,0.10785,0.0001,0.12567,1.8321,298.89
12.114,-1107,0.13701,149.43,5.0335,12.576,7.5415,0.28285,0.38736,stratified-smooth,0.35462,0.0001,0.31047,91.373,1298.9
12.571,-1104,0.7243,149.37,4.4504,12.573,8.1179,0.086446,-0.053767,stratified-smooth,0.19707,0.0001,0.22473,58.486,1138.8
13.029,-1095.5,1.1768,149.24,4.4045,12.566,8.1474,0.001,-0.41391,stratified-smooth,0.047104,0.0001,0.018856,43.404,732.83
13.486,-1085.3,0.97946,149.07,4.2613,12.557,8.3283,0.001,-0.49926,stratified-smooth,0.047104,0.0001,0.0018517,1.188,340.06
13.943,-1079.9,0.18387,148.98,4.2448,12.552,8.2884,0.001,0.16225,stratified-smooth,0.047104,0.0001,0.0017743,1.6517,300.63
14.4,-1082.3,-0.54271,149.02,4.2844,12.554,8.2646,0.001,0.3248,stratified-smooth,0.047104,0.0001,0.0017642,1.7718,278.22
14.857,-1088.5,-0.43884,149.13,5.5133,12.56,7.0092,0.34325,0.9519,stratified-smooth,10.181,0.0001,0.06627,79.595,1079.5
15.314,-1089.3,0.67817,149.1,4.1155,12.558,8.4465,0.97237,-0.14131,stratified-smooth,0.047104,0.0001,0.55,114.94,1363.8
15.771,-1077.7,2.1596,148.75,4.0002,12.541,8.463,0.08755,-0.45132,stratified-smooth,2.3565,0.0001,0.55,74.248,1306
16.229,-1054.9,2.9423,148.34,4.2088,12.519,8.2889,0.0031819,-0.081442,stratified-smooth,0.14999,0.0001,0.55,3.6726,421.09
16.686,-1030.7,2.3339,147.96,4.4226,12.5,8.0871,0.002989,-0.97226,stratified-smooth,0.14082,0.0001,0.27436,1.8412,330.67
17.143,-1017.6,0.54352,147.77,4.4419,12.49,8.062,0.0011425,-0.10876,stratified-smooth,0.053915,0.0001,0.16446,4.1023,289.66
17.6,-1022,-1.4432,147.82,4.5219,12.492,7.9558,0.0018105,0.834,stratified-smooth,0.085263,0.0001,0.033263,3.1295,263.56
18.057,-1040.6,-2.5692,148.12,4.5321,12.508,7.9731,0.0012424,0.67789,stratified-smooth,0.058601,0.0001,0.0165,4.2752,270.61
18.514,-1063.1,-2.4399,148.48,4.5217,12.526,7.9555,0.0035911,0.69697,stratified-smooth,0.16905,0.0001,0.014829,6.7292,300.09
18.971,-1079.6,-1.5069,148.74,4.5168,12.54,8.0079,0.0074836,0.037033,stratified-smooth,0.35103,0.0001,0.025581,19.173,396.11
19.429,-1087.1,-0.61307,148.87,4.3975,12.547,8.1453,0.0033741,-0.50417,stratified-smooth,0.15877,0.0001,0.041518,11.579,845.56
19.886,-1089.4,-0.29438,148.91,4.5924,12.549,7.9178,0.0017633,-0.28052,stratified-smooth,0.083333,0.0001,0.062068,16.584,573.38
20.343,-1091.8,-0.41385,148.95,4.392,12.551,8.1307,0.0014724,0.1934,stratified-smooth,0.069573,0.0001,0.058563,3.17,284.61
20.8,-1096,-0.40719,149.02,4.622,12.554,7.9059,0.0021996,0.38645,stratified-smooth,0.10392,0.0001,0.092788,2.6082,281.34
21.257,-1098.3,0.11233,149.06,4.9832,12.556,7.5374,0.006953,0.32541,stratified-smooth,0.32652,0.0001,0.098852,87.062,1001.6
21.714,-1094.2,0.93887,148.98,4.3843,12.552,8.1626,0.0016411,-0.19405,stratified-smooth,0.062059,0.0001,0.18758,103.91,1291.5
22.171,-1083.3,1.4236,148.76,4.3074,12.541,8.2034,0.001,-0.49501,stratified-smooth,0.047104,0.0001,0.066651,24.468,564.17
22.629,-1071.5,1.0671,148.52,4.32,12.529,8.1644,0.001,-0.55795,stratified-smooth,0.047104,0.0001,0.058668,1.8021,298.05
23.086,-1066.3,0.03479,148.43,4.2648,12.524,8.1873,0.001,0.20344,stratified-smooth,0.047104,0.0001,0.089523,2.4391,275.28
23.543,-1070.9,-0.87139,148.51,4.2766,12.528,8.2147,0.001,0.71216,stratified-smooth,0.047104,0.0001,0.09563,3.4324,254.66
24,-1080.2,-0.81061,148.67,4.3491,12.536,8.1834,0.0023588,0.72102,stratified-smooth,0.11118,0.0001,0.047035,2.3547,260.7
24.457,-1083.8,0.40028,148.74,4.9699,12.54,7.5639,0.013629,0.35008,stratified-smooth,0.63525,0.0001,0.10302,113.54,1320.9
24.914,-1073.8,2.0647,148.52,4.272,12.528,8.2651,0.0034741,-0.4698,stratified-smooth,0.047104,0.0001,0.31233,102.53,1429.9
25.371,-1050.9,3.0692,148.08,4.2749,12.506,8.2112,0.001,-0.65006,stratified-smooth,0.047104,0.0001,0.16046,46.219,866.63
25.829,-1024.8,2.6914,147.68,4.3236,12.485,8.1702,0.001,-0.80329,stratified-smooth,0.047104,0.0001,0.010174,7.5236,302.8
26.286,-1007.9,1.1117,147.42,4.2657,12.471,8.1529,0.001,-0.22041,stratified-smooth,0.047104,0.0001,0.0072871,3.5557,265.88
26.743,-1007,-0.74006,147.39,4.2546,12.47,8.1645,0.001,0.72147,stratified-smooth,0.047104,0.0001,0.0067801,3.1675,244.76
27.2,-1019.7,-1.8809,147.59,4.2829,12.48,8.1707,0.001,0.60856,stratified-smooth,0.047104,0.0001,0.0065558,0.68174,282.36
27.657,-1037.1,-1.9635,147.87,4.3271,12.495,8.1627,0.001,0.56713,stratified-smooth,0.047104,0.0001,0.0054788,5.8125,310.24
28.114,-1051,-1.409,148.1,4.2715,12.507,8.2113,0.001,-0.037951,stratified-smooth,0.047104,0.0001,0.0049935,9.1188,427.91
28.571,-1059.6,-0.93535,148.26,4.3466,12.515,8.1485,0.001,-0.47015,stratified-smooth,0.047104,0.0001,0.0048522,10.3,412.95
29.029,-1066,-0.91009,148.37,4.3873,12.521,8.1208,0.001,0.059495,stratified-smooth,0.047104,0.0001,0.0043855,3.4993,381.46
29.486,-1074.1,-1.0775,148.51,4.4817,12.528,7.9434,0.001,-0.25424,stratified-smooth,0.047104,0.0001,0.0043309,1.2188,116.73
29.943,-1083.2,-0.87607,148.69,4.682,12.537,7.8519,0.056123,5.5559,stratified-smooth,2.3904,0.0001,0.0036685,22.061,218.14
30.4,-1088.1,20.918,146.61,4.2966,12.429,7.9753,0.08579,-3.2889,slug,0.10991,0.18838,0.35717,107.87,0.73137
30.857,-733.71,37.781,142.75,4.3261,12.223,7.6793,0.001,-4.0961,slug,0.10991,0.2034,0.25517,26.262,0.28661
31.314,-379.35,37.781,138.42,4.3288,11.986,7.4246,0.001,-0.056444,slug,0.10991,0.19812,0.0070739,0.010081,0.27292
31.771,-25,37.781,134.24,4.3438,11.75,7.1917,0.001,1.8278,slug,0.10991,0.19294,0.00073649,0.0073944,0.27115
