# Region      : all region0
# Cells       : 20000
# Volume      : 3.341956e-02
# Time        	volAverage(alpha.liquid)
0.1           	8.116065e-01
0.2           	8.037773e-01
0.3           	7.918991e-01
0.4           	7.764628e-01
0.5           	7.620261e-01
0.6           	7.714218e-01
0.7           	7.882317e-01
0.8           	7.982606e-01
0.9           	8.049003e-01
1             	8.086431e-01
1.1           	8.100854e-01
1.2           	8.108344e-01
1.3           	8.110963e-01
1.4           	8.110956e-01
1.5           	8.111266e-01
1.6           	8.111283e-01
1.7           	8.111335e-01
1.8           	8.111345e-01
1.9           	8.111355e-01
2             	8.111086e-01
