# Region      : all region0
# Cells       : 20000
# Volume      : 3.341956e-02
# Time        	volAverage(alpha.liquid)
0.1           	5.072828e-01
0.2           	5.679340e-01
0.3           	6.251341e-01
0.4           	6.787580e-01
0.5           	7.304960e-01
0.6           	7.710339e-01
0.7           	7.879097e-01
0.8           	7.973564e-01
0.9           	8.040990e-01
1             	8.082767e-01
1.1           	8.100007e-01
1.2           	8.108200e-01
1.3           	8.110915e-01
1.4           	8.111398e-01
1.5           	8.111405e-01
1.6           	8.111084e-01
1.7           	8.110907e-01
1.8           	8.111059e-01
1.9           	8.111161e-01
2             	8.111095e-01
