x_km,hydrate_forming,Phi_SH_sustained,Phi_SH_running_max,Phi_SH_final
0.2286,1,548.104,2217.99,640.302
0.6857,1,2316.23,3243.89,1908.85
1.1429,1,3086.14,4886.34,1130.72
1.6000,1,1928.23,4579.85,7.66273
2.0571,1,103.484,3498.02,5.89155
2.5143,1,5.0405,1760.76,4.97137
2.9714,1,5.30056,2172.19,5.28388
3.4286,1,4.99568,1975.82,4.71161
3.8857,1,4.61152,1906.53,4.35189
4.3429,1,4.31877,1610.83,4.16369
4.8000,1,4.61724,1451.49,4.19061
5.2571,1,4.64881,1339.75,4.22759
5.7143,1,585.569,3276.25,7.2993
6.1714,1,213.76,3799.18,7.14571
6.6286,1,16.3185,3875.53,5.09999
7.0857,1,5.84835,2348.63,4.62003
7.5429,1,4.96401,1460.59,4.35972
8.0000,1,5.62216,1306.16,4.2172
8.4571,1,5.47914,1212.06,4.77015
8.9143,1,4.88392,1223.67,4.94488
9.3714,1,5.36433,1324.65,5.36378
9.8286,1,1513.44,3520.18,7.22928
10.2857,1,2549.72,4862.69,7.30243
10.7429,1,1181.36,3942.6,6.67643
11.2000,1,11.2575,1393.87,5.3605
11.6571,1,9.84512,1339.92,4.86377
12.1143,1,152.054,3689.87,6.3923
12.5714,1,117.998,4556.62,6.43636
13.0286,1,85.6822,3943.58,5.26703
13.4857,1,8.13768,1506.73,4.43269
13.9429,1,9.88957,1287.7,4.50301
14.4000,1,11.1818,1281.51,4.33808
14.8571,1,222.756,1840.48,5.03927
15.3143,1,904.777,3455.37,6.07615
15.7714,1,23.3597,4180.23,5.02476
16.2286,1,6.53081,3806.09,4.7756
16.6857,1,4.95491,1978.09,4.50917
17.1429,1,5.68019,1207.76,4.89261
17.6000,1,4.81965,1097.95,3.64304
18.0571,1,4.90732,1196.4,4.36431
18.5143,1,5.29243,1324.16,3.72869
18.9714,1,5.02023,1964.12,3.63467
19.4286,1,5.57086,2951.3,3.61102
19.8857,1,5.35234,3041.89,3.35533
20.3429,1,5.40754,1300.78,3.67193
20.8000,1,4.68434,1205.12,3.84513
21.2571,1,25.4843,3797.22,5.68748
21.7143,1,19.2403,4023.47,5.24117
22.1714,1,7.78618,4297.27,4.99938
22.6286,1,4.60565,1250.53,4.15159
23.0857,1,4.64888,1136.28,3.87135
23.5429,1,5.02331,1117.58,3.93708
24.0000,1,5.85396,1242.49,4.20486
24.4571,1,573.136,3676.22,5.64427
24.9143,1,7.73221,3939.95,5.16001
25.3714,1,4.84931,3029.36,4.2561
25.8286,1,4.91353,1830.65,4.48089
26.2857,1,4.07622,1109.78,3.25227
26.7429,1,4.12433,948.69,3.25197
27.2000,1,3.74049,1305.89,3.26524
27.6571,1,4.10322,1605.31,3.57947
28.1143,1,3.86452,1586.55,3.45446
28.5714,1,3.74431,1015.55,3.35094
29.0286,1,3.79821,1730.2,3.69747
29.4857,1,3.37399,503.81,3.37449
29.9429,1,4.79815,970.44,4.79846
30.4000,1,0.669126,2.58975,0.00273181
30.8571,1,0.243585,0.877684,0.00186616
31.3143,1,0.0126519,0.979207,0.00148505
31.7714,1,0.00202504,0.765214,0.00145124
