x_km,P_bar,T_C,phase_state,vapour_frac_V,rho_gas_kgm3,rho_liq_kgm3,mu_gas_Pas,mu_liq_Pas,Z_gas,gas_sg,K_N2,K_CO2,K_C1,K_C2,K_C3,K_iC4,K_nC4,K_iC5,K_nC5,K_C6,K_C7+
0.22857,150,55.804,two-phase,0.34348,115.04,836.74,1.6643e-05,0.0010864,0.83006,0.61703,3.9203,0.88892,2.1553,0.86201,0.46029,0.30668,0.2482,0.16258,0.14037,0.081404,0.00024515
0.68571,150.1,53.728,two-phase,0.3386,116.17,836.77,1.6644e-05,0.0010935,0.82627,0.61611,3.904,0.87543,2.1412,0.85228,0.45391,0.30211,0.24414,0.15974,0.13776,0.079722,0.00023461
1.6,148.85,49.355,two-phase,0.33172,117.48,837.85,1.6585e-05,0.0011185,0.81829,0.61413,3.9042,0.85013,2.1245,0.83312,0.43964,0.29116,0.23435,0.15253,0.13113,0.075278,0.00020316
2.5143,147.26,45.626,two-phase,0.32686,118.24,839.05,1.6514e-05,0.0011431,0.81133,0.61244,3.9156,0.82944,2.1142,0.81705,0.42718,0.28142,0.22566,0.14606,0.12518,0.071282,0.00017612
3.4286,146.14,42.27,two-phase,0.32129,119.23,839.79,1.647e-05,0.0011622,0.80475,0.61094,3.9162,0.81011,2.1012,0.80228,0.41635,0.27318,0.21834,0.14073,0.1203,0.06806,0.00015677
3.8857,145.35,40.609,two-phase,0.31908,119.54,840.31,1.6438e-05,0.0011734,0.80148,0.6102,3.9221,0.80093,2.0967,0.79506,0.4108,0.26886,0.21451,0.1379,0.11771,0.066338,0.00014655
4.8,143.64,37.68,two-phase,0.31587,119.84,841.43,1.6366e-05,0.0011955,0.79567,0.60887,3.94,0.78517,2.0912,0.78238,0.40075,0.26094,0.20749,0.13267,0.11293,0.063156,0.0001283
5.7143,142.65,35.152,two-phase,0.31152,120.55,841.94,1.6332e-05,0.0012101,0.79036,0.60775,3.9415,0.77068,2.0814,0.77117,0.39263,0.25481,0.20209,0.12878,0.10939,0.060853,0.00011677
6.6286,140.88,32.737,two-phase,0.30956,120.51,843.04,1.6257e-05,0.0012309,0.78546,0.60665,3.9646,0.75805,2.0793,0.76062,0.38402,0.24794,0.19603,0.12425,0.10527,0.058122,0.00010276
7.0857,139.28,31.416,two-phase,0.31026,119.92,844.14,1.6181e-05,0.0012478,0.78301,0.60601,3.9948,0.75203,2.0839,0.75492,0.37858,0.24336,0.19198,0.12114,0.10244,0.05621,9.2971e-05
8,136.84,29.288,two-phase,0.31091,119.08,845.78,1.6067e-05,0.0012741,0.77899,0.60499,4.0401,0.74199,2.09,0.74554,0.36995,0.23617,0.18565,0.11631,0.098069,0.053295,7.9373e-05
8.9143,137.29,27.516,two-phase,0.30411,120.69,845.08,1.611e-05,0.0012732,0.77445,0.60428,4.0064,0.72999,2.071,0.73733,0.36571,0.23361,0.18346,0.115,0.096895,0.052654,7.8367e-05
9.8286,138.25,25.82,two-phase,0.29583,122.77,843.93,1.6186e-05,0.0012669,0.76977,0.60365,3.9588,0.718,2.0481,0.72965,0.36247,0.23202,0.18214,0.11441,0.096364,0.052464,7.9656e-05
10.743,137.49,24.119,two-phase,0.29252,123.26,844.17,1.6166e-05,0.0012762,0.76577,0.60291,3.9593,0.70831,2.041,0.72204,0.35714,0.22807,0.17871,0.11197,0.09417,0.051076,7.4434e-05
