x_km,P_bar,T_C,z_N2,z_CO2,z_C1,z_C2,z_C3,z_iC4,z_nC4,z_iC5,z_nC5,z_C6,z_C7+
0.228571,150,56.531,0.004,0.02,0.43,0.075,0.058,0.012,0.028,0.013,0.016,0.03,0.314
0.685714,149.38,55.0456,0.004,0.02,0.43,0.075,0.058,0.012,0.028,0.013,0.016,0.03,0.314
1.14286,148.07,53.502,0.004,0.02,0.43,0.075,0.058,0.012,0.028,0.013,0.016,0.03,0.314
1.6,146.202,51.9906,0.004,0.02,0.43,0.075,0.058,0.012,0.028,0.013,0.016,0.03,0.314
2.05714,144.306,50.5559,0.004,0.02,0.43,0.075,0.058,0.012,0.028,0.013,0.016,0.03,0.314
2.51429,142.689,49.1919,0.004,0.02,0.43,0.075,0.058,0.012,0.028,0.013,0.016,0.03,0.314
2.97143,141.285,47.8365,0.004,0.02,0.43,0.075,0.058,0.012,0.028,0.013,0.016,0.03,0.314
3.42857,139.827,46.4872,0.004,0.02,0.43,0.075,0.058,0.012,0.028,0.013,0.016,0.03,0.314
3.88571,138.146,45.1423,0.004,0.02,0.43,0.075,0.058,0.012,0.028,0.013,0.016,0.03,0.314
4.34286,136.348,43.816,0.004,0.02,0.43,0.075,0.058,0.012,0.028,0.013,0.016,0.03,0.314
4.8,134.704,42.5311,0.004,0.02,0.43,0.075,0.058,0.012,0.028,0.013,0.016,0.03,0.314
5.25714,133.363,41.2928,0.004,0.02,0.43,0.075,0.058,0.012,0.028,0.013,0.016,0.03,0.314
5.71429,132.168,40.09,0.004,0.02,0.43,0.075,0.058,0.012,0.028,0.013,0.016,0.03,0.314
6.17143,130.755,38.8993,0.004,0.02,0.43,0.075,0.058,0.012,0.028,0.013,0.016,0.03,0.314
6.62857,128.846,37.7021,0.004,0.02,0.43,0.075,0.058,0.012,0.028,0.013,0.016,0.03,0.314
7.08571,126.543,36.5003,0.004,0.02,0.43,0.075,0.058,0.012,0.028,0.013,0.016,0.03,0.314
7.54286,124.342,35.7393,0.004,0.02,0.43,0.075,0.058,0.012,0.028,0.013,0.016,0.03,0.314
8,122.777,35.0005,0.004,0.02,0.43,0.075,0.058,0.012,0.028,0.013,0.016,0.03,0.314
8.45714,122.063,34.2875,0.004,0.02,0.43,0.075,0.058,0.012,0.028,0.013,0.016,0.03,0.314
8.91429,121.973,33.5977,0.004,0.02,0.43,0.075,0.058,0.012,0.028,0.013,0.016,0.03,0.314
9.37143,122.002,32.9179,0.004,0.02,0.43,0.075,0.058,0.012,0.028,0.013,0.016,0.03,0.314
9.82857,121.666,32.2368,0.004,0.02,0.43,0.075,0.058,0.012,0.028,0.013,0.016,0.03,0.314
10.2857,120.787,31.5551,0.004,0.02,0.43,0.075,0.058,0.012,0.028,0.013,0.016,0.03,0.314
10.7429,119.552,30.8815,0.004,0.02,0.43,0.075,0.058,0.012,0.028,0.013,0.016,0.03,0.314
11.2,118.282,30.2443,0.004,0.02,0.43,0.075,0.058,0.012,0.028,0.013,0.016,0.03,0.314
11.6571,117.136,29.7566,0.004,0.02,0.43,0.075,0.058,0.012,0.028,0.013,0.016,0.03,0.314
12.1143,116.03,29.4316,0.004,0.02,0.43,0.075,0.058,0.012,0.028,0.013,0.016,0.03,0.314
12.5714,114.887,28.8711,0.004,0.02,0.43,0.075,0.058,0.012,0.028,0.013,0.016,0.03,0.314
13.0286,112.77,28.7734,0.004,0.02,0.43,0.075,0.058,0.012,0.028,0.013,0.016,0.03,0.314
13.4857,109.572,28.4875,0.0040079,0.0199689,0.429727,0.0748143,0.0576784,0.0119298,0.0279651,0.0130317,0.016039,0.030073,0.314765
13.9429,107.627,28.1314,0.00401618,0.0199362,0.429439,0.0746195,0.0573424,0.0118564,0.0279283,0.0130649,0.0160799,0.0301498,0.315567
14.4,106.106,27.8093,0.00402421,0.0199045,0.429157,0.0744308,0.0570183,0.0117857,0.0278925,0.0130971,0.0161195,0.0302241,0.316346
14.8571,104.797,27.2171,0.00402433,0.019904,0.429153,0.0744281,0.0570137,0.0117847,0.027892,0.0130976,0.0161201,0.0302252,0.316357
15.3143,102.322,27.1106,0.00403141,0.0198759,0.428903,0.0742614,0.0567286,0.0117225,0.0278603,0.0131261,0.0161552,0.0302909,0.317045
15.7714,99.9803,27.0801,0.00404127,0.0198367,0.428551,0.0740294,0.0563335,0.0116364,0.0278161,0.0131657,0.016204,0.0303825,0.318003
16.2286,96.0337,27.0102,0.00405125,0.019797,0.428192,0.0737947,0.0559359,0.0115497,0.0277712,0.0132059,0.0162534,0.0304752,0.318974
16.6857,92.0366,27.05,0.00406129,0.0197568,0.427827,0.0735582,0.0555373,0.0114629,0.0277257,0.0132464,0.0163033,0.0305687,0.319952
17.1429,88.2205,26.6553,0.00407146,0.019716,0.427454,0.0733189,0.0551362,0.0113756,0.0276795,0.0132875,0.0163538,0.0306634,0.320943
17.6,86.6844,26.6376,0.00408167,0.019675,0.427076,0.0730783,0.0547352,0.0112883,0.0276329,0.0133287,0.0164046,0.0307587,0.321941
18.0571,84.8679,26.398,0.004092,0.0196333,0.42669,0.0728351,0.0543318,0.0112005,0.0275856,0.0133706,0.0164561,0.0308551,0.32295
18.5143,83.9305,26.186,0.00409747,0.0196112,0.426483,0.0727062,0.0541193,0.0111543,0.0275604,0.0133927,0.0164833,0.0309063,0.323486
18.9714,83.2742,26.0447,0.00410794,0.0195688,0.426085,0.0724593,0.0537133,0.0110661,0.0275121,0.0134352,0.0165356,0.0310043,0.324512
19.4286,82.1822,25.7116,0.00411854,0.0195257,0.425679,0.0722095,0.0533049,0.0109773,0.027463,0.0134782,0.0165886,0.0311036,0.325551
19.8857,81.0614,25.8274,0.00412486,0.0194999,0.425434,0.0720604,0.0530626,0.0109247,0.0274336,0.0135039,0.0166202,0.031163,0.326172
20.3429,79.8116,25.5879,0.00413556,0.0194562,0.425018,0.0718081,0.0526536,0.0108359,0.0273836,0.0135475,0.0166739,0.0312635,0.327224
20.8,78.0181,25.7901,0.00414637,0.019412,0.424593,0.0715533,0.0522431,0.0107468,0.027333,0.0135915,0.016728,0.0313651,0.328288
21.2571,75.8546,25.4205,0.0041573,0.0193671,0.424159,0.0712954,0.05183,0.0106572,0.0272816,0.0136361,0.0167829,0.031468,0.329365
21.7143,74.2161,25.3904,0.00416832,0.0193217,0.423717,0.0710352,0.0514156,0.0105674,0.0272294,0.0136812,0.0168384,0.031572,0.330453
22.1714,72.6076,25.1934,0.00417949,0.0192756,0.423266,0.0707718,0.0509984,0.010477,0.0271764,0.0137269,0.0168946,0.0316774,0.331557
22.6286,70.4932,25.0146,0.00419079,0.0192287,0.422804,0.0705051,0.0505786,0.0103861,0.0271225,0.0137732,0.0169516,0.0317842,0.332675
23.0857,68.5308,24.9022,0.00419787,0.0191993,0.422512,0.0703379,0.050317,0.0103294,0.0270886,0.0138022,0.0169874,0.0318513,0.333377
23.5429,67.0827,24.8495,0.0042093,0.0191517,0.422038,0.070068,0.0498964,0.0102384,0.0270337,0.0138492,0.0170451,0.0319596,0.334511
