x_km,diameter_mm,holdup_alpha_l,liquid_level_h_over_D,liquid_level_mm,wetted_perim_frac,interface_width_mm,deposit_mean_mm,deposit_bottom_mm,deposit_top_mm,u_mix_mps
0.22857,254.5,0.33241,0.36678,93.346,0.41415,245.3,0,0,0,2.9036
0.68571,254.5,0.36401,0.39236,99.855,0.43093,248.53,0,0,0,2.6146
1.1429,254.5,0.43014,0.44502,113.26,0.46493,252.96,0,0,0,2.1363
1.6,254.5,0.42161,0.43827,111.54,0.4606,252.55,0,0,0,2.1198
2.0571,254.5,0.39461,0.41684,106.09,0.44681,250.96,0,0,0,2.3354
2.5143,254.5,0.36213,0.39084,99.469,0.42994,248.36,0,0,0,2.5403
2.9714,254.5,0.36484,0.39303,100.03,0.43137,248.61,0,0,0,2.567
3.4286,254.5,0.38153,0.4064,103.43,0.44006,250,0,0,0,2.4438
3.8857,254.5,0.41059,0.42955,109.32,0.455,251.96,0,0,0,2.2547
4.3429,254.5,0.40355,0.42395,107.9,0.4514,251.54,0,0,0,2.2381
4.8,254.5,0.38227,0.407,103.58,0.44044,250.06,0,0,0,2.4015
5.2571,254.5,0.35299,0.38348,97.595,0.42513,247.49,0,0,0,2.5988
5.7143,254.5,0.35436,0.38458,97.877,0.42586,247.63,0,0,0,2.6496
6.1714,254.5,0.37563,0.40169,102.23,0.437,249.53,0,0,0,2.5334
6.6286,254.5,0.44141,0.45392,115.52,0.47062,253.42,1.2464e-15,2.8235e-15,1.0859e-16,2.2003
7.0857,254.5,0.45852,0.4674,118.95,0.47923,253.96,3.8919e-09,8.8161e-09,3.3908e-10,1.9772
7.5429,248.54,0.42918,0.44426,110.42,0.46444,246.99,2.9812,6.7531,0.25973,2.2041
8,220.38,0.44026,0.45301,99.833,0.47004,219.4,17.062,38.65,1.4865,2.3353
8.4571,228.83,0.35581,0.38575,88.272,0.42662,222.78,12.834,29.071,1.1181,2.6986
8.9143,232.86,0.34039,0.37327,86.919,0.41843,225.25,10.822,24.514,0.94285,2.762
9.3714,235.18,0.34127,0.37399,87.954,0.4189,227.59,9.6596,21.881,0.84158,2.6626
9.8286,228.16,0.37047,0.39755,90.703,0.43431,223.32,13.171,29.836,1.1475,2.4276
