x_km,elevation_m,incl_deg,P_bar,T_C,Teq_C,subcooling_C,holdup,v_m_mps,regime,a_i_1perm,f_slug_Hz,phi_hydrate,deposit_mm,Phi_SH
0.22857,-1118.4,-1.9608,150,56.537,33.012,-23.524,0.34087,4.256,slug,24.689,0.23135,0,0,2.9168
0.68571,-1134.1,-1.0374,149.37,55.058,32.98,-22.065,0.3508,4.0785,slug,25.026,0.21143,0,0,3.2271
1.1429,-1135,0.46855,148.04,53.514,32.911,-20.571,0.36589,3.8597,slug,25.497,0.19053,0,0,3.6391
1.6,-1126.6,1.0667,146.17,52.006,32.813,-19.156,0.36369,3.8746,slug,25.432,0.21202,0,0,3.251
2.0571,-1118,0.75682,144.26,50.575,32.712,-17.821,0.35741,3.9672,slug,25.238,0.20232,0,0,3.37
2.5143,-1114.5,0.18865,142.63,49.213,32.625,-16.541,0.34901,4.0618,slug,24.965,0.17094,0,0,3.9348
2.9714,-1115,0.038263,141.22,47.874,32.548,-15.286,0.35016,4.0741,slug,25.002,0.1461,0,0,4.5983
3.4286,-1113.9,0.43777,139.75,46.529,32.467,-14.044,0.355,4.012,slug,25.157,0.18844,0,0,3.577
3.8857,-1108,0.92959,138.06,45.187,32.374,-12.818,0.36216,3.9294,slug,25.378,0.20758,0,0,3.2643
4.3429,-1099.1,0.95471,136.25,43.864,32.272,-11.596,0.36037,3.9214,slug,25.323,0.20822,0,0,3.2359
4.8,-1092.7,0.42362,134.6,42.581,32.178,-10.408,0.35477,3.9925,slug,25.147,0.18741,0,0,3.5594
5.2571,-1092.3,-0.14736,133.25,41.344,32.101,-9.2497,0.34653,4.0881,slug,24.878,0.16602,0,0,3.965
5.7143,-1095.1,-0.073229,132.04,40.143,32.031,-8.1186,0.34786,4.1123,slug,24.924,0.15465,0,0,4.2535
6.1714,-1093.5,0.85291,130.62,38.953,31.947,-7.0129,0.35521,4.0407,slug,25.166,0.20485,0,0,3.2318
6.6286,-1081.5,2.0695,128.71,37.757,31.834,-5.9311,0.3683,3.9001,slug,25.567,0.23193,0,0,2.8868
7.0857,-1060.5,2.601,126.4,36.556,31.695,-4.8701,0.37326,3.8096,slug,25.704,0.23987,0,0,2.7919
7.5429,-1039.9,1.8033,124.2,35.722,31.559,-4.137,0.3656,3.8586,slug,25.484,0.22717,0,0,2.9098
8,-1031.7,-0.094085,122.63,34.992,31.461,-3.5043,0.35469,3.9962,slug,25.147,0.15828,0,0,4.1086
8.4571,-1041.4,-2.0839,121.91,34.289,31.416,-2.845,0.34332,4.1321,slug,24.77,0.23201,0,0,2.7576
8.9143,-1064.9,-3.0804,121.81,33.61,31.41,-2.1699,0.3433,4.1761,slug,24.764,0.24604,0,0,2.5989
9.3714,-1090.6,-2.6781,121.83,32.94,31.411,-1.4976,0.34753,4.1153,slug,24.91,0.24086,0,0,2.6708
9.8286,-1107.7,-1.3732,121.49,32.27,31.389,-0.84737,0.3586,3.9848,slug,25.134,0.21847,0,0,2.9687
10.286,-1112.6,-0.12479,120.6,31.599,31.333,-0.20519,0.36443,3.8575,slug,25.371,0.16289,0,0,4.0101
10.743,-1109.7,0.38837,119.41,30.936,31.256,0.47884,0.36,3.8777,slug,25.3,0.18511,0,0,3.5102
11.2,-1106.4,0.21717,118.11,30.298,31.172,0.96273,0.35649,3.9581,slug,25.051,0.17298,0,0,3.7224
11.657,-1106.2,-0.04272,116.94,29.675,31.096,1.4365,0.36073,3.9759,slug,24.96,0.14704,0,0,4.3416
12.114,-1107,0.13701,115.84,29.309,31.023,1.6203,0.35165,4.0212,slug,24.369,0.16458,0,0,3.8765
12.571,-1104,0.7243,114.64,28.987,30.943,1.9907,0.36876,3.8998,slug,24.215,0.20041,0,0,3.2142
13.029,-1095.5,1.1768,112.91,28.392,30.825,2.2919,0.79604,3.4848,slug,17.039,0.21407,0.0014017,27.678,3.0158
13.486,-1085.3,0.97946,111.39,28.038,30.721,2.504,0.76847,3.8817,slug,19.521,0.20889,0.0014315,42.923,3.0575
13.943,-1079.9,0.18387,110.12,28.091,30.633,2.612,0.71607,3.4038,slug,22.325,0.1702,0.0051233,78.226,3.7087
14.4,-1082.3,-0.54271,108.96,27.639,30.551,2.761,0.35939,4.0347,slug,21.066,0.19351,0.0078548,0,3.2169
14.857,-1088.5,-0.43884,107.75,27.263,30.465,2.9789,0.70336,3.4467,slug,22.417,0.18855,0.0094268,117.07,3.3115
15.314,-1089.3,0.67817,105.96,27.096,30.336,2.787,0.70459,3.5716,slug,21.185,0.19947,0.013946,117.07,3.1705
15.771,-1077.7,2.1596,102.48,27.179,30.079,2.8255,0.73362,3.9236,slug,21.101,0.235,0.016486,117.07,2.6717
16.229,-1054.9,2.9423,98.303,27.049,29.758,3.0131,0.80409,3.3535,slug,17.193,0.24741,0.018913,117.07,2.6139
16.686,-1030.7,2.3339,94.125,26.889,29.424,2.5893,0.75533,3.1084,slug,19.368,0.24065,0.020256,117.07,2.5659
17.143,-1017.6,0.54352,90.686,26.544,29.136,2.5505,0.61621,4.0071,slug,22.534,0.19814,0.02374,117.07,3.041
17.6,-1022,-1.4432,89.362,26.524,29.023,2.1673,0.69996,3.5054,slug,22.485,0.22658,0.02906,117.07,2.6262
18.057,-1040.6,-2.5692,89.075,26.412,28.999,2.3285,0.63494,4.126,slug,23.058,0.24672,0.034368,117.07,2.413
18.514,-1063.1,-2.4399,88.293,26.075,28.931,2.3305,0.65742,4.0121,slug,22.141,0.24548,0.039392,117.07,2.4511
18.971,-1079.6,-1.5069,87.008,26.061,28.819,2.4429,0.66673,3.4291,slug,22.385,0.2295,0.045547,117.07,2.6392
19.429,-1087.1,-0.61307,85.471,26.087,28.681,2.5059,0.51278,3.8851,slug,21.816,0.2041,0.049116,60.692,2.9904
19.886,-1089.4,-0.29438,82.939,26.093,28.45,2.2311,0.67543,3.0451,slug,21.782,0.188,0.05258,117.07,3.2515
20.343,-1091.8,-0.41385,80.51,25.689,28.221,2.461,0.56459,4.0137,slug,22.831,0.19749,0.050126,117.07,3.0964
20.8,-1096,-0.40719,78.56,25.894,28.032,2.0735,0.59176,3.3799,churn,25.91,0.19849,0.054035,117.07,3.0847
21.257,-1098.3,0.11233,77.653,25.521,27.943,2.0472,0.60299,3.6679,churn,22.425,0.17226,0.057784,117.07,3.5654
21.714,-1094.2,0.93887,76.626,25.595,27.84,1.9236,0.55609,3.2248,churn,24.678,0.22269,0.064396,117.07,2.7863
22.171,-1083.3,1.4236,74.375,25.438,27.61,1.8338,0.53541,3.2187,churn,24.872,0.23816,0.073417,117.07,2.6175
22.629,-1071.5,1.0671,72.877,25.556,27.453,1.7463,0.47039,3.8904,churn,22.719,0.23054,0.071828,117.07,2.6916
23.086,-1066.3,0.03479,71.532,25.277,27.31,1.7767,0.51006,3.361,churn,27.011,0.1588,0.076039,117.07,3.8931
23.543,-1070.9,-0.87139,70.008,25.134,27.145,1.8997,0.47248,3.5615,churn,25.78,0.22771,0.085067,117.07,2.6986
24,-1080.2,-0.81061,68.705,24.665,27,2.3413,0.38179,3.8612,churn,24.25,0.22713,0.091113,117.07,2.728
24.457,-1083.8,0.40028,67.211,24.836,26.83,2.0534,0.49654,3.3682,churn,26.139,0.20965,0.10301,117.07,2.9701
24.914,-1073.8,2.0647,64.754,24.513,26.543,2.1175,0.38924,3.0805,churn,24.951,0.26572,0.11246,117.07,2.4009
25.371,-1050.9,3.0692,62.91,23.732,26.322,2.5747,0.29086,3.8709,churn,19.682,0.28565,0.11448,58.535,2.26
25.829,-1024.8,2.6914,60.446,23.665,26.014,2.5691,0.46632,2.9938,churn,25.053,0.28527,0.1121,117.07,2.2591
26.286,-1007.9,1.1117,58.957,23.527,25.822,2.373,0.36941,3.5585,churn,19.779,0.25433,0.10746,86.868,2.5113
26.743,-1007,-0.74006,58.264,22.982,25.731,2.8039,0.29321,4.0882,churn,20.122,0.24219,0.09822,90.222,5326.8
27.2,-1019.7,-1.8809,57.225,23.322,25.592,2.5472,0.34797,3.5913,churn,23.809,0.27854,0.09663,117.07,5526.8
27.657,-1037.1,-1.9635,56.437,23.264,25.486,2.6848,0.30631,4.0882,churn,21.781,0.2823,0.10544,117.07,5668.8
28.114,-1051,-1.409,55.641,22.665,25.376,2.7934,0.35568,3.4355,churn,24.311,0.27144,0.11597,117.07,5902.1
28.571,-1059.6,-0.93535,54.363,21.856,25.197,3.2481,0.28483,3.9029,churn,19.171,0.25929,0.12522,89.881,6101.6
29.029,-1066,-0.91009,53.749,21.642,25.11,3.2751,0.36327,3.1297,churn,21.629,0.25964,0.1857,79.712,5712.1
29.486,-1074.1,-1.0775,53.453,21.56,25.067,3.3251,0.13622,4.034,churn,10.998,0.26686,0.10699,0.39074,5972.8
29.943,-1083.2,-0.87607,53.009,21.805,25.003,3.2441,0.27015,7.1164,churn,19.433,0.2609,0.13063,117.07,5908.4
30.4,-1088.1,20.918,46.589,19.751,24.008,4.1639,0.67637,-1.1531,churn,14.904,0.46542,0.33915,0.0096588,5700.4
30.857,-733.71,37.781,36.304,19.034,22.087,2.5247,0.22366,6.3425,churn,18.136,0.58846,0.29104,0,5151.1
31.314,-379.35,37.781,24.669,16.734,19.111,2.2065,0.51115,-1.7529,annular,38.227,0.0001,0.22911,86.536,6249.1
31.771,-25,37.781,12.905,15.817,14.122,-2.3517,0.20108,10.31,annular,22.238,0.0001,0.12218,0,5644.7
