# Region      : all region0
# Cells       : 20000
# Volume      : 1.401623e-01
# Time        	volAverage(alpha.liquid)
0.1           	8.826209e-01
0.2           	8.782742e-01
0.3           	8.718497e-01
0.4           	8.635624e-01
0.5           	8.558173e-01
0.6           	8.631052e-01
0.7           	8.725228e-01
0.8           	8.786690e-01
0.9           	8.813487e-01
1             	8.819249e-01
1.1           	8.819415e-01
1.2           	8.819435e-01
1.3           	8.819358e-01
1.4           	8.819359e-01
1.5           	8.819378e-01
1.6           	8.819421e-01
1.7           	8.819384e-01
1.8           	8.819339e-01
1.9           	8.819347e-01
2             	8.819337e-01
