# Region      : all region0
# Cells       : 20000
# Volume      : 1.385603e-01
# Time        	volAverage(alpha.liquid)
0.1           	7.500784e-01
0.2           	7.747164e-01
0.3           	7.963869e-01
0.4           	8.150632e-01
0.5           	8.338127e-01
0.6           	8.610296e-01
0.7           	8.717091e-01
0.8           	8.778864e-01
0.9           	8.809950e-01
1             	8.818973e-01
1.1           	8.819388e-01
1.2           	8.819386e-01
1.3           	8.819398e-01
1.4           	8.819389e-01
1.5           	8.819380e-01
1.6           	8.819404e-01
1.7           	8.819402e-01
1.8           	8.819420e-01
1.9           	8.819429e-01
2             	8.819404e-01
