label,kg0_mult,growth_exp_n,C_phi,f_slug_floor_Hz,runtime_s,max_Phi_SH,sustained_Phi_SH,sustained_Phi_SH_hotspot_km,sustained_supercritical_km,final_Phi_SH,Phi_SH_supercritical_time_frac,Phi_SH_peak_time_h,max_Phi_SH_uncapped,max_Psi_kinetic_ratio,Phi_SH_above_critical_frac,Phi_SH_critical,deposit_ref_mm,P_plug,time_to_plug_P50_h,time_to_plug_P10_h,time_to_plug_P90_h,MEG_wt_pct,under_inhibited_km,peak_deposit_mm,max_subcooling_C,cooldown_to_hydrate_h,max_Phi_SH_rel,sustained_Phi_SH_rel,sustained_Phi_SH_hotspot_km_rel,sustained_supercritical_km_rel,final_Phi_SH_rel,Phi_SH_supercritical_time_frac_rel,Phi_SH_peak_time_h_rel,max_Phi_SH_uncapped_rel,max_Psi_kinetic_ratio_rel,Phi_SH_above_critical_frac_rel,Phi_SH_critical_rel,deposit_ref_mm_rel,MEG_wt_pct_rel,under_inhibited_km_rel,peak_deposit_mm_rel,max_subcooling_C_rel
baseline,1.0,1.5,1500.0,0.0001,47.3,1.797290231517786,1.1748303407726872,23.085714285714285,2.285714285714285,1.166260866331851,0.9291666666666667,0.4021052454141327,1.797290231517786,0.001198193487678524,5.505274052542336e-07,1.08,21.208333333333332,0.0,nan,nan,nan,30.48231851354411,14.171428571428573,11.497932003107842,6.137793908038125,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
kg0_x0.2,0.2,1.5,1500.0,0.0001,47.1,0.3594580463035572,0.23569529046093468,23.085714285714285,0.0,0.232866322013321,0.0,0.4021052454141327,0.3594580463035572,0.00023963869753570479,0.0,1.08,21.208333333333332,0.0,nan,nan,nan,30.449400861335494,14.171428571428573,2.598409696837509,6.127808890249128,0.0,0.2,0.2006,1.0,0.0,0.1997,0.0,1.0,0.2,0.2,0.0,1.0,1.0,0.9989,1.0,0.226,0.9984
kg0_x0.5,0.5,1.5,1500.0,0.0001,42.6,0.898645115758893,0.5801302970488,23.085714285714285,0.0,0.5714264738648951,0.0,0.4021052454141327,0.898645115758893,0.000599096743839262,0.0,1.08,21.208333333333332,0.0,nan,nan,nan,30.55836939683651,14.171428571428573,5.819650878148637,6.128125644440883,0.0,0.5,0.4938,1.0,0.0,0.49,0.0,1.0,0.5,0.5,0.0,1.0,1.0,1.0025,1.0,0.5061,0.9984
kg0_x2,2.0,1.5,1500.0,0.0001,48.5,3.594580463035572,2.4502895361884427,23.085714285714285,11.885714285714284,2.8519953810317316,1.0,0.4021052454141327,3.594580463035572,0.002396386975357048,0.018155415439869895,1.08,21.208333333333332,0.6666666666666666,14.398152318640776,12.312947296501875,17.181880586218973,30.476999583391187,14.171428571428573,117.07000000000001,6.21737615186565,0.0,2.0,2.0857,1.0,5.2,2.4454,1.0762,1.0,2.0,2.0,32978.2228,1.0,1.0,0.9998,1.0,10.1818,1.013
kg0_x5,5.0,1.5,1500.0,0.0001,55.2,8.986451157588931,6.443686226029802,23.085714285714285,12.8,7.248224260248933,1.0,0.4021052454141327,8.986451157588931,0.005990967438392621,0.04695678973702079,1.08,21.208333333333332,0.8333333333333334,4.98041409889412,3.6065458236494137,8.941638688011366,30.74809181184971,14.171428571428573,117.07000000000001,6.131284548545485,0.0,5.0,5.4848,1.0,5.6,6.2149,1.0762,1.0,5.0,5.0,85294.1911,1.0,1.0,1.0087,1.0,10.1818,0.9989
n_1,1.0,1.0,1500.0,0.0001,41.9,0.5755513203045974,0.42573101879049524,23.085714285714285,0.0,0.4228297340077029,0.0,0.4021052454141327,0.5755513203045974,0.000383700880203065,0.0,1.08,21.208333333333332,0.0,nan,nan,nan,30.540505637213307,14.171428571428573,4.83521047816614,6.12918466793869,0.0,0.3202,0.3624,1.0,0.0,0.3626,0.0,1.0,0.3202,0.3202,0.0,1.0,1.0,1.0019,1.0,0.4205,0.9986
n_1.25,1.0,1.25,1500.0,0.0001,41.3,1.017070678822553,0.7096008473653848,23.085714285714285,0.0,0.7042874140314426,0.0,0.4021052454141327,1.017070678822553,0.0006780471192150354,0.0,1.08,21.208333333333332,0.0,nan,nan,nan,30.569046350638146,14.171428571428573,7.1363166220442515,6.133875711233303,0.0,0.5659,0.604,1.0,0.0,0.6039,0.0,1.0,0.5659,0.5659,0.0,1.0,1.0,1.0028,1.0,0.6207,0.9994
n_1.75,1.0,1.75,1500.0,0.0001,41.4,3.176035101168212,1.9067494512411782,23.085714285714285,10.971428571428572,1.9021105507012857,1.0,0.4021052454141327,3.176035101168212,0.0021173567341121417,0.009646520433781955,1.08,21.208333333333332,0.5,18.39226352814215,15.160139151931663,20.406321295332422,30.49109039799071,14.171428571428573,58.535000000000004,6.168623267976069,0.0,1.7671,1.623,1.0,4.8,1.6309,1.0762,1.0,1.7671,1.7671,17522.3256,1.0,1.0,1.0003,1.0,5.0909,1.005
n_2,1.0,2.0,1500.0,0.0001,52.9,5.612448555587239,3.5473723159391253,23.085714285714285,12.342857142857142,3.791078922080676,1.0,0.4021052454141327,5.612448555587239,0.003741632370391493,0.03023270172832738,1.08,21.208333333333332,0.6666666666666666,9.466966559816083,8.494817410028086,9.50121508031422,30.51219534454146,14.171428571428573,117.07000000000001,6.252055557232579,0.0,3.1227,3.0195,1.0,5.4,3.2506,1.0762,1.0,3.1227,3.1227,54915.8887,1.0,1.0,1.001,1.0,10.1818,1.0186
C_500,1.0,1.5,500.0,0.0001,43.7,0.599096743839262,0.39161011359089576,23.085714285714285,0.0,0.38875362211061704,0.0,0.4021052454141327,0.599096743839262,0.001198193487678524,5.505274052542336e-07,0.36,63.625,0.0,nan,nan,nan,30.48231851354411,14.171428571428573,11.497932003107842,6.137793908038125,0.0,0.3333,0.3333,1.0,0.0,0.3333,0.0,1.0,0.3333,1.0,1.0,0.3333,3.0,1.0,1.0,1.0,1.0
C_1000,1.0,1.5,1000.0,0.0001,41.4,1.198193487678524,0.7832202271817915,23.085714285714285,0.0,0.7775072442212341,0.0,0.4021052454141327,1.198193487678524,0.001198193487678524,5.505274052542336e-07,0.72,31.8125,0.0,nan,nan,nan,30.48231851354411,14.171428571428573,11.497932003107842,6.137793908038125,0.0,0.6667,0.6667,1.0,0.0,0.6667,0.0,1.0,0.6667,1.0,1.0,0.6667,1.5,1.0,1.0,1.0,1.0
C_3000,1.0,1.5,3000.0,0.0001,42.1,3.594580463035572,2.3496606815453744,23.085714285714285,11.885714285714284,2.332521732663702,1.0,0.4021052454141327,3.594580463035572,0.001198193487678524,5.505274052542336e-07,2.16,10.604166666666666,0.0,nan,nan,nan,30.48231851354411,14.171428571428573,11.497932003107842,6.137793908038125,0.0,2.0,2.0,1.0,5.2,2.0,1.0762,1.0,2.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0
C_4500,1.0,1.5,4500.0,0.0001,42.0,5.391870694553358,3.5244910223180614,23.085714285714285,12.8,3.498782598995553,1.0,0.4021052454141327,5.391870694553358,0.001198193487678524,5.505274052542336e-07,3.2399999999999998,7.069444444444444,0.0,nan,nan,nan,30.48231851354411,14.171428571428573,11.497932003107842,6.137793908038125,0.0,3.0,3.0,1.0,5.6,3.0,1.0762,1.0,3.0,1.0,1.0,3.0,0.3333,1.0,1.0,1.0,1.0
