x_km,hydrate_forming,Phi_SH_sustained,Phi_SH_running_max,Phi_SH_final
0.2286,0,nan,0.301453,0.278776
0.6857,0,nan,0.353222,0.328349
1.1429,0,nan,0.462461,0.418902
1.6000,0,nan,0.408963,0.367091
2.0571,0,nan,0.399383,0.360703
2.5143,0,nan,0.450288,0.395933
2.9714,0,nan,0.531302,0.463186
3.4286,0,nan,0.432474,0.370128
3.8857,0,nan,0.407199,0.35603
4.3429,0,nan,0.393436,0.347745
4.8000,0,nan,0.416676,0.367295
5.2571,0,nan,0.456006,0.388915
5.7143,0,nan,0.490689,0.413747
6.1714,0,nan,0.387841,0.322107
6.6286,0,nan,0.376829,0.313954
7.0857,0,nan,0.367134,0.329906
7.5429,0,nan,0.360031,0.31875
8.0000,0,nan,0.469725,0.412955
8.4571,0,nan,0.298339,0.260373
8.9143,0,nan,0.278766,0.241309
9.3714,0,nan,0.295599,0.254118
9.8286,0,nan,0.352776,0.296602
10.2857,0,nan,0.505363,0.430994
10.7429,0,nan,0.431934,0.373324
11.2000,0,nan,0.438186,0.382671
11.6571,0,nan,0.497647,0.426951
12.1143,0,nan,0.445103,0.383122
12.5714,0,nan,0.385894,0.324785
13.0286,0,nan,0.371805,0.32041
13.4857,0,nan,0.364579,0.318042
13.9429,0,nan,0.420119,0.369478
14.4000,0,nan,0.352913,0.306079
14.8571,0,nan,0.354074,0.312836
15.3143,0,nan,0.347541,0.303653
15.7714,0,nan,0.339182,0.284954
16.2286,0,nan,0.340155,0.303164
16.6857,0,nan,0.324981,0.287033
17.1429,0,nan,0.357891,0.317348
17.6000,0,nan,0.294995,0.255087
18.0571,0,nan,0.267331,0.229579
18.5143,0,nan,0.277073,0.237787
18.9714,0,nan,0.316734,0.267771
19.4286,0,nan,0.372024,0.321359
19.8857,1,0.347984,0.398272,0.346848
20.3429,1,0.31883,0.36583,0.323389
20.8000,1,0.30871,0.356482,0.312964
21.2571,1,0.363045,0.424378,0.364417
21.7143,1,0.298272,0.351951,0.293463
22.1714,1,0.296947,0.337107,0.291943
22.6286,1,0.293147,0.332105,0.290897
23.0857,1,0.397827,0.452088,0.40014
23.5429,1,0.259995,0.295673,0.265587
24.0000,1,0.262132,0.301264,0.265791
24.4571,1,0.297144,0.350024,0.295317
24.9143,1,0.266391,0.335742,0.258811
25.3714,1,0.280286,0.337981,0.276627
25.8286,1,0.258025,0.302335,0.259171
26.2857,1,0.264154,0.310524,0.269248
26.7429,1,0.252945,0.290588,0.256448
27.2000,1,0.223828,0.258027,0.224922
27.6571,1,0.225194,0.260554,0.223926
28.1143,1,0.265631,0.306773,0.258704
28.5714,1,0.242828,0.288152,0.243008
29.0286,1,0.392307,0.472364,0.378119
29.4857,1,0.128406,0.197018,0.124693
29.9429,1,0.175922,0.273472,0.202222
30.4000,1,0.284537,0.337817,0.309753
30.8571,1,0.112672,0.204615,0.115791
31.3143,1,0.076272,0.198266,0.0648184
31.7714,1,0.0279335,0.0787964,0.030895
