time_h,bc_rate_frac,P_bar,T_C,subcooling_C,holdup,v_m_mps,f_slug_Hz,phi_hydrate,deposit_mm,Phi_SH
0,1,124.37,14.165,-2.1326,0.35096,1.5238,0.13502,0,0,0.60534
0.0045579,1,125.15,14.161,-2.0605,0.35082,1.5612,0.13541,0,0,0.61047
0.011575,1,125.15,14.174,-2.0565,0.35393,1.9775,0.13541,0,0,0.61591
0.018927,1,125.38,14.181,-2.05,0.35786,1.8969,0.13552,0,0,0.6244
0.025484,1,125.41,14.192,-2.0557,0.36263,2.0091,0.13554,0,0,0.63292
0.031444,1,125.09,14.212,-2.092,0.37003,2.2505,0.13538,0,0,0.64354
0.03771,1,124.96,14.224,-2.1227,0.3775,2.2475,0.1353,0,0,0.65552
0.043873,1,124.84,14.238,-2.1441,0.38548,2.2616,0.13524,0,0,0.66856
0.050241,1,124.77,14.251,-2.1642,0.39326,2.2603,0.1352,0,0,0.68148
0.056385,1,124.7,14.265,-2.1833,0.40121,2.2612,0.13517,0,0,0.69474
0.062627,1,124.65,14.279,-2.2013,0.40897,2.2551,0.13514,0,0,0.7078
0.068751,1,124.6,14.293,-2.2191,0.41672,2.2541,0.13511,0,0,0.72082
0.074897,1,124.56,14.307,-2.2369,0.42431,2.2521,0.13509,0,0,0.73356
0.080975,1,124.51,14.321,-2.2549,0.43179,2.2525,0.13506,0,0,0.74608
0.087045,1,124.45,14.335,-2.2731,0.4391,2.253,0.13503,0,0,0.75827
0.093071,1,124.4,14.349,-2.2915,0.44625,2.2544,0.135,0,0,0.77014
0.099081,1,124.34,14.362,-2.3101,0.45319,2.2556,0.13496,0,0,0.78161
0.10506,1,124.28,14.376,-2.3286,0.4599,2.2569,0.13493,0,0,0.79266
0.11103,1,124.22,14.389,-2.3471,0.46634,2.2577,0.1349,0,0,0.80323
0.11697,1,124.16,14.402,-2.3652,0.47249,2.2582,0.13487,0,0,0.81328
0.12291,1,124.1,14.415,-2.3829,0.4783,2.2582,0.13484,0,0,0.82275
0.12884,1,124.05,14.427,-2.4,0.48375,2.2578,0.1348,0,0,0.83159
0.13476,1,123.99,14.438,-2.4164,0.4888,2.2568,0.13477,0,0,0.83975
0.14067,1,123.94,14.448,-2.432,0.49341,2.2554,0.13475,0,0,0.84718
0.14658,1,123.89,14.458,-2.4465,0.49756,2.2535,0.13472,0,0,0.85383
0.15249,1,123.85,14.467,-2.4599,0.50122,2.2514,0.13469,0,0,0.85965
0.15841,1,123.8,14.474,-2.4721,0.50435,2.2491,0.13467,0,0,0.86461
0.16432,1,123.76,14.481,-2.4831,0.50696,2.2469,0.13465,0,0,0.86867
0.17024,1,123.72,14.486,-2.4926,0.50901,2.2446,0.13463,0,0,0.87181
0.17616,1,123.69,14.49,-2.5007,0.51049,2.2422,0.13461,0,0,0.874
0.18208,1,123.66,14.493,-2.5072,0.51141,2.2399,0.13459,0,0,0.87525
0.188,1,123.63,14.494,-2.5122,0.51175,2.2377,0.13458,0,0,0.87554
0.19393,1,123.6,14.493,-2.5154,0.51152,2.235,0.13457,0,0,0.87491
0.19977,1,123.59,14.492,-2.5167,0.51077,2.2315,0.13456,0,0,0.87342
0.20548,1,123.57,14.489,-2.5162,0.50954,2.2278,0.13455,0,0,0.87117
0.21105,1,123.56,14.485,-2.514,0.50788,2.2245,0.13454,0,0,0.86822
0.21648,1,123.55,14.479,-2.5104,0.50584,2.2211,0.13454,0,0,0.86466
0.22176,1,123.56,14.473,-2.505,0.50344,2.2156,0.13454,0,0,0.86056
0.22696,1,123.56,14.465,-2.4978,0.50068,2.208,0.13455,0,0,0.85593
0.23212,1,123.58,14.457,-2.4889,0.49762,2.1999,0.13456,0,0,0.85085
0.23719,1,123.6,14.447,-2.4784,0.49427,2.192,0.13457,0,0,0.84534
0.24221,1,123.63,14.437,-2.4666,0.49079,2.1841,0.13459,0,0,0.83964
0.24712,1,123.66,14.425,-2.4537,0.48744,2.1772,0.13461,0,0,0.83419
0.25194,1,123.69,14.414,-2.4399,0.48424,2.1711,0.13462,0,0,0.829
0.25666,1,123.72,14.401,-2.4255,0.48114,2.1664,0.13464,0,0,0.824
0.26131,1,123.76,14.389,-2.4106,0.47817,2.1626,0.13466,0,0,0.8192
0.26585,1,123.79,14.376,-2.3955,0.47531,2.16,0.13468,0,0,0.81455
0.27033,1,123.81,14.362,-2.3801,0.47254,2.1581,0.1347,0,0,0.81007
0.27472,1,123.84,14.349,-2.3645,0.46986,2.157,0.13471,0,0,0.80571
0.27904,1,123.87,14.335,-2.3489,0.46727,2.1565,0.13473,0,0,0.80149
0.28329,1,123.89,14.321,-2.3333,0.46476,2.1566,0.13474,0,0,0.79738
0.28748,1,123.91,14.307,-2.3177,0.46232,2.1572,0.13476,0,0,0.79338
0.29161,1,123.93,14.293,-2.3023,0.45996,2.1583,0.13477,0,0,0.78947
0.29568,1,123.95,14.279,-2.2869,0.45765,2.1597,0.13478,0,0,0.78566
0.29969,1,123.96,14.266,-2.2718,0.45541,2.1615,0.13479,0,0,0.78194
0.30366,1,123.98,14.252,-2.2568,0.45323,2.1636,0.1348,0,0,0.77829
0.30757,1,123.99,14.238,-2.2421,0.4511,2.1659,0.13481,0,0,0.77473
0.31145,1,124,14.225,-2.2276,0.44903,2.1684,0.13482,0,0,0.77124
0.31528,1,124.01,14.211,-2.2134,0.447,2.1711,0.13482,0,0,0.76781
0.31907,1,124.01,14.198,-2.1995,0.44503,2.1739,0.13483,0,0,0.76446
0.32282,1,124.02,14.185,-2.1859,0.4431,2.1769,0.13483,0,0,0.76118
0.32654,1,124.02,14.172,-2.1727,0.44122,2.1799,0.13484,0,0,0.75796
0.33022,1,124.02,14.159,-2.1597,0.43939,2.1829,0.13484,0,0,0.7548
0.33387,1,124.02,14.147,-2.1472,0.4376,2.186,0.13484,0,0,0.7517
0.33749,1,124.02,14.135,-2.1349,0.43585,2.1892,0.13485,0,0,0.74867
0.34108,1,124.01,14.123,-2.1231,0.43414,2.1923,0.13485,0,0,0.74569
0.34464,1,124.01,14.112,-2.1116,0.43247,2.1954,0.13485,0,0,0.74278
0.34817,1,124,14.1,-2.1005,0.43085,2.1985,0.13485,0,0,0.73992
0.35169,1,124,14.089,-2.0899,0.42926,2.2016,0.13485,0,0,0.73712
0.35517,1,123.99,14.079,-2.0796,0.42771,2.2046,0.13484,0,0,0.73438
0.35864,1,123.98,14.068,-2.0697,0.4262,2.2076,0.13484,0,0,0.7317
0.36208,1,123.97,14.058,-2.0602,0.42473,2.2106,0.13484,0,0,0.72907
0.3655,1,123.96,14.049,-2.0512,0.4233,2.2137,0.13484,0,0,0.7265
0.36891,1,123.94,14.039,-2.0426,0.4219,2.2167,0.13483,0,0,0.72398
0.37229,1,123.93,14.031,-2.0344,0.42054,2.2197,0.13483,0,0,0.72152
0.37566,1,123.92,14.022,-2.0267,0.41921,2.2227,0.13482,0,0,0.71911
0.37901,1,123.9,14.014,-2.0194,0.41792,2.2257,0.13481,0,0,0.71675
0.38234,1,123.88,14.006,-2.0126,0.41667,2.2287,0.13481,0,0,0.71445
0.38566,1,123.87,13.998,-2.0062,0.41544,2.2317,0.1348,0,0,0.7122
0.38896,1,123.85,13.991,-2.0002,0.41426,2.2346,0.13479,0,0,0.71
0.39224,1,123.83,13.985,-1.9946,0.4131,2.2376,0.13479,0,0,0.70786
0.39552,1,123.81,13.978,-1.9895,0.41198,2.2405,0.13478,0,0,0.70577
0.39878,1,123.79,13.972,-1.9848,0.41089,2.2434,0.13477,0,0,0.70372
0.40202,1,123.77,13.966,-1.9805,0.40983,2.2463,0.13476,0,0,0.70173
0.40526,1,123.74,13.961,-1.9767,0.40881,2.2492,0.13475,0,0,0.69979
0.40848,1,123.72,13.956,-1.9732,0.40781,2.252,0.13474,0,0,0.6979
0.41169,1,123.7,13.952,-1.9702,0.40685,2.2548,0.13473,0,0,0.69606
0.41489,1,123.68,13.947,-1.9675,0.40592,2.2575,0.13472,0,0,0.69427
0.41808,1,123.65,13.944,-1.9653,0.40502,2.2602,0.13471,0,0,0.69253
0.42126,1,123.63,13.94,-1.9633,0.40415,2.2628,0.1347,0,0,0.69084
0.42443,1,123.6,13.937,-1.9618,0.4033,2.2653,0.13468,0,0,0.6892
0.42759,1,123.58,13.934,-1.9606,0.40249,2.2678,0.13467,0,0,0.68761
0.43075,1,123.56,13.931,-1.9597,0.40171,2.2702,0.13466,0,0,0.68607
0.43389,1,123.53,13.929,-1.9591,0.40095,2.2724,0.13465,0,0,0.68458
0.43703,1,123.51,13.927,-1.9588,0.40032,2.2746,0.13464,0,0,0.6833
0.44016,1,123.48,13.925,-1.9588,0.39987,2.2767,0.13463,0,0,0.68235
0.44328,1,123.46,13.924,-1.9591,0.39963,2.2786,0.13461,0,0,0.68174
0.44639,1,123.43,13.923,-1.9597,0.39958,2.2804,0.1346,0,0,0.68146
0.4495,1,123.41,13.922,-1.9605,0.39973,2.282,0.13459,0,0,0.68153
0.45261,1,123.38,13.921,-1.9616,0.40009,2.2835,0.13458,0,0,0.68195
0.4557,1,123.36,13.921,-1.9629,0.40065,2.2849,0.13457,0,0,0.68271
0.45879,1,123.34,13.92,-1.9645,0.40142,2.2861,0.13455,0,0,0.68383
0.46188,1,123.31,13.921,-1.9662,0.40238,2.2871,0.13454,0,0,0.6853
0.46496,1,123.29,13.921,-1.9683,0.40355,2.288,0.13453,0,0,0.68711
0.46804,1,123.27,13.921,-1.9705,0.40492,2.2888,0.13452,0,0,0.68925
0.47111,1,123.24,13.922,-1.9729,0.40647,2.2894,0.13451,0,0,0.69172
0.47417,1,123.22,13.923,-1.9754,0.40821,2.2898,0.1345,0,0,0.69451
0.47724,1,123.2,13.924,-1.9782,0.41013,2.2901,0.13449,0,0,0.69761
0.48029,1,123.18,13.926,-1.981,0.41222,2.2903,0.13448,0,0,0.70099
0.48335,1,123.16,13.927,-1.984,0.41446,2.2904,0.13447,0,0,0.70465
0.4864,1,123.14,13.929,-1.9872,0.41686,2.2904,0.13446,0,0,0.70857
0.48945,1,123.12,13.931,-1.9904,0.4194,2.2903,0.13445,0,0,0.71272
0.49249,1,123.1,13.932,-1.9937,0.42207,2.2901,0.13444,0,0,0.7171
0.49553,1,123.08,13.934,-1.9971,0.42485,2.2899,0.13443,0,0,0.72167
0.49857,1,123.07,13.936,-2.0006,0.42774,2.2897,0.13442,0,0,0.72642
0.5016,1,123.05,13.938,-2.0041,0.43072,2.2894,0.13441,0,0,0.73133
0.50463,1,123.03,13.941,-2.0076,0.43378,2.2891,0.1344,0,0,0.73637
0.50766,1,123.01,13.943,-2.0111,0.4369,2.2888,0.13439,0,0,0.74152
0.51068,1,122.99,13.945,-2.0147,0.44007,2.2886,0.13438,0,0,0.74675
0.51371,1,122.98,13.947,-2.0182,0.44328,2.2882,0.13437,0,0,0.75205
0.51672,1,122.97,13.949,-2.0206,0.4465,2.2806,0.13437,0,0,0.75747
0.51974,1,122.97,13.95,-2.0226,0.44972,2.2732,0.13437,0,0,0.76293
0.52278,1,122.97,13.952,-2.0244,0.45293,2.2681,0.13437,0,0,0.76837
0.52581,1,122.97,13.954,-2.0262,0.45612,2.2645,0.13436,0,0,0.77377
0.52886,1,122.97,13.955,-2.028,0.45928,2.2626,0.13436,0,0,0.7791
0.5319,1,122.96,13.956,-2.0298,0.46241,2.2615,0.13436,0,0,0.78435
0.53495,1,122.95,13.957,-2.0316,0.46549,2.2613,0.13435,0,0,0.7895
0.53799,1,122.95,13.958,-2.0331,0.4685,2.2592,0.13435,0,0,0.79456
0.54103,1,122.95,13.959,-2.034,0.47143,2.255,0.13435,0,0,0.79952
0.54407,1,122.94,13.959,-2.0351,0.47428,2.2542,0.13435,0,0,0.8043
0.5471,1,122.93,13.959,-2.0367,0.47707,2.2589,0.13434,0,0,0.80888
0.55014,1,122.92,13.959,-2.0371,0.47974,2.2533,0.13434,0,0,0.81341
0.55318,1,122.94,13.959,-2.0356,0.48228,2.2382,0.13435,0,0,0.81787
0.55622,1,122.94,13.958,-2.035,0.4847,2.2378,0.13435,0,0,0.82199
0.55926,1,122.93,13.957,-2.0359,0.48703,2.2481,0.13434,0,0,0.82577
0.56229,1,122.91,13.956,-2.0366,0.48926,2.2537,0.13433,0,0,0.82937
0.56532,1,122.88,13.955,-2.0378,0.4914,2.2624,0.13432,0,0,0.83271
0.56834,1,122.85,13.954,-2.0388,0.49342,2.2677,0.13431,0,0,0.83587
0.57134,1,122.83,13.952,-2.0392,0.49531,2.2697,0.1343,0,0,0.83885
0.57434,1,122.84,13.95,-2.0374,0.49704,2.257,0.1343,0,0,0.8418
0.57733,1,122.84,13.948,-2.0345,0.49863,2.2454,0.1343,0,0,0.84459
0.58037,1,122.85,13.945,-2.0314,0.50007,2.2386,0.13431,0,0,0.84709
0.5834,1,122.86,13.942,-2.0283,0.50137,2.2356,0.13431,0,0,0.84933
0.58646,1,122.85,13.938,-2.0252,0.50253,2.2355,0.13431,0,0,0.85128
0.58952,1,122.85,13.934,-2.0222,0.50356,2.2374,0.13431,0,0,0.85295
0.59259,1,122.84,13.93,-2.0191,0.50446,2.2389,0.1343,0,0,0.85438
0.59565,1,122.82,13.926,-2.0165,0.50523,2.2457,0.1343,0,0,0.8555
0.59871,1,122.78,13.922,-2.0161,0.50592,2.2667,0.13427,0,0,0.85617
0.60177,1,122.74,13.917,-2.0145,0.5065,2.2725,0.13426,0,0,0.85679
0.60483,1,122.75,13.912,-2.0091,0.50691,2.2516,0.13426,0,0,0.85758
0.6079,1,122.79,13.906,-2.0009,0.50713,2.2244,0.13428,0,0,0.85832
0.61096,1,122.82,13.9,-1.9927,0.5072,2.2099,0.1343,0,0,0.85874
0.61402,1,122.83,13.894,-1.986,0.50715,2.2129,0.1343,0,0,0.85872
0.61708,1,122.82,13.887,-1.9804,0.507,2.2211,0.1343,0,0,0.85837
0.62015,1,122.83,13.88,-1.9728,0.50672,2.213,0.13431,0,0,0.85802
0.62321,1,122.86,13.873,-1.9631,0.50631,2.1939,0.13433,0,0,0.85767
0.62626,1,122.91,13.865,-1.9523,0.50575,2.1762,0.13435,0,0,0.85715
0.62932,1,122.95,13.857,-1.9406,0.50508,2.1598,0.13438,0,0,0.85648
0.63235,1,123,13.849,-1.9293,0.50429,2.1518,0.1344,0,0,0.85555
0.63539,1,123.03,13.841,-1.9183,0.50342,2.1478,0.13442,0,0,0.85439
0.6384,1,123.05,13.832,-1.9079,0.50247,2.1492,0.13443,0,0,0.85299
0.6414,1,123.07,13.823,-1.8979,0.50145,2.152,0.13444,0,0,0.85141
0.64437,1,123.08,13.814,-1.8883,0.50037,2.1562,0.13445,0,0,0.84966
0.64734,1,123.08,13.805,-1.8788,0.49924,2.1598,0.13445,0,0,0.84779
0.65029,1,123.09,13.796,-1.8694,0.49805,2.1631,0.13446,0,0,0.84581
0.65324,1,123.09,13.787,-1.8599,0.49683,2.1651,0.13446,0,0,0.84375
0.65617,1,123.1,13.777,-1.8503,0.49556,2.1663,0.13446,0,0,0.84162
0.65909,1,123.1,13.768,-1.8404,0.49426,2.1657,0.13447,0,0,0.83944
0.662,1,123.11,13.758,-1.8301,0.49291,2.163,0.13447,0,0,0.83723
0.6649,1,123.12,13.748,-1.8193,0.49153,2.1578,0.13448,0,0,0.835
0.66779,1,123.12,13.738,-1.8093,0.49012,2.1632,0.13449,0,0,0.83262
0.67069,1,123.1,13.728,-1.8012,0.48871,2.1804,0.13448,0,0,0.82998
0.67357,1,123.08,13.718,-1.7932,0.48719,2.1911,0.13447,0,0,0.82714
0.67644,1,123.05,13.708,-1.7853,0.48553,2.1999,0.13446,0,0,0.82405
0.67931,1,123.03,13.698,-1.7772,0.48379,2.205,0.13445,0,0,0.82086
0.68218,1,123.01,13.688,-1.7691,0.48197,2.21,0.13444,0,0,0.81752
0.68505,1,122.99,13.678,-1.7609,0.48009,2.2147,0.13443,0,0,0.81408
0.68791,1,122.96,13.668,-1.7529,0.47816,2.2198,0.13442,0,0,0.81055
0.69077,1,122.94,13.658,-1.7449,0.4762,2.2246,0.13441,0,0,0.80696
0.69363,1,122.91,13.648,-1.737,0.47423,2.2295,0.1344,0,0,0.80335
0.69649,1,122.88,13.638,-1.7292,0.47227,2.2345,0.13439,0,0,0.79973
0.69934,1,122.86,13.628,-1.7214,0.47032,2.2398,0.13437,0,0,0.79614
0.7022,1,122.83,13.618,-1.7139,0.46841,2.2455,0.13436,0,0,0.79259
0.70505,1,122.79,13.608,-1.7066,0.46655,2.2519,0.13435,0,0,0.78911
0.7079,1,122.76,13.598,-1.6995,0.46474,2.2592,0.13433,0,0,0.78571
0.71075,1,122.72,13.588,-1.6927,0.46302,2.2666,0.13431,0,0,0.78242
0.7136,1,122.68,13.578,-1.6857,0.46142,2.2707,0.1343,0,0,0.77937
0.71646,1,122.65,13.568,-1.6785,0.45996,2.2728,0.13429,0,0,0.77658
0.71931,1,122.62,13.559,-1.6713,0.45866,2.2744,0.13427,0,0,0.7741
0.72215,1,122.6,13.549,-1.6638,0.45755,2.2744,0.13426,0,0,0.77196
0.72499,1,122.57,13.54,-1.656,0.45665,2.2728,0.13425,0,0,0.77022
0.72782,1,122.55,13.53,-1.6481,0.45593,2.2703,0.13424,0,0,0.76883
0.73066,1,122.54,13.521,-1.64,0.45527,2.2676,0.13424,0,0,0.76754
0.73349,1,122.52,13.512,-1.6318,0.45464,2.2649,0.13423,0,0,0.76636
0.73632,1,122.51,13.502,-1.6236,0.45407,2.2625,0.13423,0,0,0.76527
0.73914,1,122.5,13.493,-1.6154,0.45355,2.2603,0.13422,0,0,0.76427
0.74196,1,122.49,13.484,-1.6072,0.45307,2.2585,0.13422,0,0,0.76336
0.74479,1,122.48,13.475,-1.5991,0.45265,2.2569,0.13422,0,0,0.76255
0.7476,1,122.46,13.466,-1.591,0.45228,2.2556,0.13421,0,0,0.76182
